idx,file_name_parts,name,desc,parts_class,grade,parts_type,init_coef,hp_coef,atk_coef,def_coef,spd_coef,hit_rate,avd_rate,cri_rate,cri_dmg,res_rate,def_pen_rate,luk,charm,skill,res_icon
10503,orange_03_tail,2118,,1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1010303,res_parts_icon_10503
10504,orange_04_tail,2119,,1,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1010304,res_parts_icon_10504
20101,watermelon_01_headparts,2120,,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2010201,res_parts_icon_20101
20102,watermelon_02_headparts,2121,,2,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,2010202,res_parts_icon_20102
20103,watermelon_03_headparts,2122,,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2010203,res_parts_icon_20103
20104,watermelon_04_headparts,2123,,2,1,1,0,0,0,0,0,1,1,0,0,0,3,0,0,2010204,res_parts_icon_20104
20201,watermelon_01_eyes,2124,,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,2,,res_parts_icon_20201
20202,watermelon_02_eyes,2125,,2,1,2,0,0,0,0,0,0,0,1,0,0,2,2,1,,res_parts_icon_20202
20203,watermelon_03_eyes,2126,,2,1,2,0,0,0,0,0,0,0,1,0,0,3,3,0,,res_parts_icon_20203
20204,watermelon_04_eyes,2127,,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,,res_parts_icon_20204
20301,watermelon_01_mouth,2128,,2,1,3,0,0,0,0,0,0,0,0,0,2,2,0,1,,res_parts_icon_20301
20302,watermelon_02_mouth,2129,,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,res_parts_icon_20302
20303,watermelon_03_mouth,2130,,2,1,3,0,0,0,0,0,0,0,0,1,2,0,0,2,,res_parts_icon_20303
20304,watermelon_04_mouth,2131,,2,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,,res_parts_icon_20304
20401,watermelon_01_back,2132,,2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2020401,res_parts_icon_20401
20402,watermelon_02_back,2133,,2,1,4,0,0,0,0,0,0,0,0,0,2,1,1,0,2020402,res_parts_icon_20402
20403,watermelon_03_back,2134,,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2020403,res_parts_icon_20403
20404,watermelon_04_back,2135,,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2020404,res_parts_icon_20404
20501,watermelon_01_tail,2136,,2,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,2010301,res_parts_icon_20501
20502,watermelon_02_tail,2137,,2,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,2010302,res_parts_icon_20502
20503,watermelon_03_tail,2138,,2,1,5,0,0,0,0,0,0,2,0,1,0,0,0,0,2010303,res_parts_icon_20503
20504,watermelon_04_tail,2139,,2,1,5,0,0,0,0,0,0,2,0,0,1,0,0,0,2010304,res_parts_icon_20504
30101,durian_01_headparts,2140,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30101
30102,durian_02_headparts,2141,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30102
30103,durian_03_headparts,2142,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30103
30104,durian_04_headparts,2143,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30104
30201,durian_01_eyes,2144,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30201
30202,durian_02_eyes,2145,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30202
30203,durian_03_eyes,2146,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30203
30204,durian_04_eyes,2147,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30204
30301,durian_01_mouth,2148,,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30301
30302,durian_02_mouth,2149,,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30302
30303,durian_03_mouth,2150,,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30303
30304,durian_04_mouth,2151,,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30304
30401,durian_01_back,2152,,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30401
30402,durian_02_back,2153,,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30402
30403,durian_03_back,2154,,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30403
30404,durian_04_back,2155,,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30404
30501,durian_01_tail,2156,,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30501
30502,durian_02_tail,2157,,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30502
30503,durian_03_tail,2158,,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30503
30504,durian_04_tail,2159,,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_30504
40101,coconut_01_headparts,2160,,4,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,4010201,res_parts_icon_40101
40102,coconut_02_headparts,2161,,4,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,4010202,res_parts_icon_40102
40103,coconut_03_headparts,2162,,4,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,4010203,res_parts_icon_40103
40104,coconut_04_headparts,2163,,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4010204,res_parts_icon_40104
40201,coconut_01_eyes,2164,,4,1,2,0,0,0,0,0,2,0,0,1,0,1,1,0,,res_parts_icon_40201
40202,coconut_02_eyes,2165,,4,1,2,0,0,0,0,0,0,2,0,3,0,0,0,0,,res_parts_icon_40202
40203,coconut_03_eyes,2166,,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_40203
40204,coconut_04_eyes,2167,,4,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,,res_parts_icon_40204
40301,coconut_01_mouth,2168,,4,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,,res_parts_icon_40301
40302,coconut_02_mouth,2169,,4,1,3,0,0,0,0,0,0,0,1,0,3,0,1,0,,res_parts_icon_40302
40303,coconut_03_mouth,2170,,4,1,3,0,0,0,0,0,0,0,0,0,1,0,2,2,,res_parts_icon_40303
40304,coconut_04_mouth,2171,,4,1,3,0,0,0,0,0,1,1,0,1,1,1,1,1,,res_parts_icon_40304
40401,coconut_01_back,2172,,4,1,4,0,0,0,0,0,2,0,0,0,2,1,0,0,4020401,res_parts_icon_40401
40402,coconut_02_back,2173,,4,1,4,0,0,0,0,0,0,2,1,0,1,0,1,0,4020402,res_parts_icon_40402
40403,coconut_03_back,2174,,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4020403,res_parts_icon_40403
40404,coconut_04_back,2175,,4,1,4,0,0,0,0,0,0,0,0,0,1,0,5,0,4020404,res_parts_icon_40404
40501,coconut_01_tail,2176,,4,1,5,0,0,0,0,0,0,0,0,1,2,1,0,0,4010301,res_parts_icon_40501
40502,coconut_02_tail,2177,,4,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,4010302,res_parts_icon_40502
40503,coconut_03_tail,2178,,4,1,5,0,0,0,0,0,0,1,0,1,1,1,0,0,4010303,res_parts_icon_40503
40504,coconut_04_tail,2179,,4,1,5,0,0,0,0,0,1,0,1,1,0,0,1,0,4010304,res_parts_icon_40504
50101,blueberry_01_headparts,2180,,5,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5010201,res_parts_icon_50101
50102,blueberry_02_headparts,2181,,5,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,5010202,res_parts_icon_50102
50103,blueberry_03_headparts,2182,,5,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,5010203,res_parts_icon_50103
50104,blueberry_04_headparts,2183,,5,1,1,0,0,0,0,0,0,0,1,1,1,2,0,0,5010204,res_parts_icon_50104
50201,blueberry_01_eyes,2184,,5,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,,res_parts_icon_50201
50202,blueberry_02_eyes,2185,,5,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,,res_parts_icon_50202
50203,blueberry_03_eyes,2186,,5,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,,res_parts_icon_50203
50204,blueberry_04_eyes,2187,,5,1,2,0,0,0,0,0,0,0,0,1,0,1,2,2,,res_parts_icon_50204
50301,blueberry_01_mouth,2188,,5,1,3,0,0,0,0,0,0,0,3,2,1,0,0,0,,res_parts_icon_50301
50302,blueberry_02_mouth,2189,,5,1,3,0,0,0,0,0,2,3,0,0,0,0,0,0,,res_parts_icon_50302
50303,blueberry_03_mouth,2190,,5,1,3,0,0,0,0,0,2,0,3,0,0,0,0,0,,res_parts_icon_50303
50304,blueberry_04_mouth,2191,,5,1,3,0,0,0,0,0,1,0,2,2,1,1,0,0,,res_parts_icon_50304
50401,blueberry_01_back,2192,,5,1,4,0,0,0,0,0,0,0,0,3,0,3,0,0,5020401,res_parts_icon_50401
50402,blueberry_02_back,2193,,5,1,4,0,0,0,0,0,1,1,1,1,1,0,0,0,5020402,res_parts_icon_50402
50403,blueberry_03_back,2194,,5,1,4,0,0,0,0,0,0,0,1,1,1,1,1,0,5020403,res_parts_icon_50403
50404,blueberry_04_back,2195,,5,1,4,0,0,0,0,0,0,0,0,4,0,0,3,0,5020404,res_parts_icon_50404
50501,blueberry_01_tail,2196,,5,1,5,0,0,0,0,0,0,0,5,0,0,0,0,2,5010301,res_parts_icon_50501
50502,blueberry_02_tail,2197,,5,1,5,0,0,0,0,0,0,0,2,2,0,0,1,1,5010302,res_parts_icon_50502
50503,blueberry_03_tail,2198,,5,1,5,0,0,0,0,0,0,1,1,1,1,0,1,1,5010303,res_parts_icon_50503
50504,blueberry_04_tail,2199,,5,1,5,0,0,0,0,3,0,0,3,1,0,0,0,0,5010304,res_parts_icon_50504
60101,melon_01_headparts,2200,,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60101
60102,melon_02_headparts,2201,,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60102
60103,melon_03_headparts,2202,,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60103
60104,melon_04_headparts,2203,,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60104
60201,melon_01_eyes,2204,,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60201
60202,melon_02_eyes,2205,,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60202
60203,melon_03_eyes,2206,,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60203
60204,melon_04_eyes,2207,,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60204
60301,melon_01_mouth,2208,,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60301
60302,melon_02_mouth,2209,,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60302
60303,melon_03_mouth,2210,,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60303
60304,melon_04_mouth,2211,,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60304
60401,melon_01_back,2212,,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60401
60402,melon_02_back,2213,,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60402
60403,melon_03_back,2214,,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60403
60404,melon_04_back,2215,,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60404
60501,melon_01_tail,2216,,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60501
60502,melon_02_tail,2217,,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60502
60503,melon_03_tail,2218,,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60503
60504,melon_04_tail,2219,,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_60504
70101,pineapple_01_headparts,2220,,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70101
70102,pineapple_02_headparts,2221,,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70102
70103,pineapple_03_headparts,2222,,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70103
70104,pineapple_04_headparts,2223,,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70104
70201,pineapple_01_eyes,2224,,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70201
70202,pineapple_02_eyes,2225,,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70202
70203,pineapple_03_eyes,2226,,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70203
70204,pineapple_04_eyes,2227,,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70204
70301,pineapple_01_mouth,2228,,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70301
70302,pineapple_02_mouth,2229,,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70302
70303,pineapple_03_mouth,2230,,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70303
70304,pineapple_04_mouth,2231,,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70304
70401,pineapple_01_back,2232,,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70401
70402,pineapple_02_back,2233,,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70402
70403,pineapple_03_back,2234,,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70403
70404,pineapple_04_back,2235,,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70404
70501,pineapple_01_tail,2236,,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70501
70502,pineapple_02_tail,2237,,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70502
70503,pineapple_03_tail,2238,,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70503
70504,pineapple_04_tail,2239,,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_70504
80101,banana_01_headparts,2240,,8,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,,res_parts_icon_80101
80102,banana_02_headparts,2241,,8,1,1,0,0,0,0,0,0,2,0,0,3,0,1,0,,res_parts_icon_80102
80103,banana_03_headparts,2242,,8,1,1,0,0,0,0,0,2,2,0,0,1,1,0,0,,res_parts_icon_80103
80104,banana_04_headparts,2243,,8,1,1,0,0,0,0,0,0,3,0,2,0,0,0,0,,res_parts_icon_80104
80201,banana_01_eyes,2244,,8,1,2,0,0,0,0,0,0,0,2,2,2,0,0,0,,res_parts_icon_80201
80202,banana_02_eyes,2245,,8,1,2,0,0,0,0,0,1,2,0,1,2,0,0,0,,res_parts_icon_80202
80203,banana_03_eyes,2246,,8,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,,res_parts_icon_80203
80204,banana_04_eyes,2247,,8,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,,res_parts_icon_80204
80301,banana_01_mouth,2248,,8,1,3,0,0,0,0,0,0,3,0,0,3,0,0,0,,res_parts_icon_80301
80302,banana_02_mouth,2249,,8,1,3,0,0,0,0,0,0,2,2,1,0,0,0,0,,res_parts_icon_80302
80303,banana_03_mouth,2250,,8,1,3,0,0,0,0,0,0,0,2,0,3,0,0,0,,res_parts_icon_80303
80304,banana_04_mouth,2251,,8,1,3,0,0,0,0,0,0,0,0,3,2,0,0,0,,res_parts_icon_80304
80401,banana_01_back,2252,,8,1,4,0,0,0,0,0,1,1,1,1,1,1,0,0,,res_parts_icon_80401
80402,banana_02_back,2253,,8,1,4,0,0,0,0,0,0,0,2,2,1,0,1,0,,res_parts_icon_80402
80403,banana_03_back,2254,,8,1,4,0,0,0,0,0,0,0,0,0,1,0,5,0,,res_parts_icon_80403
80404,banana_04_back,2255,,8,1,4,0,0,0,0,0,0,0,0,0,0,2,3,0,,res_parts_icon_80404
80501,banana_01_tail,2256,,8,1,5,0,0,0,0,0,0,0,1,0,2,2,1,0,,res_parts_icon_80501
80502,banana_02_tail,2257,,8,1,5,0,0,0,0,0,0,0,1,2,3,0,0,0,,res_parts_icon_80502
80503,banana_03_tail,2258,,8,1,5,0,0,0,0,0,0,0,0,0,3,2,1,0,,res_parts_icon_80503
80504,banana_04_tail,2259,,8,1,5,0,0,0,0,0,0,0,2,0,2,0,1,1,,res_parts_icon_80504
90101,rambutan_01_headparts,2260,,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90101
90102,rambutan_02_headparts,2261,,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90102
90103,rambutan_03_headparts,2262,,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90103
90104,rambutan_04_headparts,2263,,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90104
90201,rambutan_01_eyes,2264,,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90201
90202,rambutan_02_eyes,2265,,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90202
90203,rambutan_03_eyes,2266,,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90203
90204,rambutan_04_eyes,2267,,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90204
90301,rambutan_01_mouth,2268,,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90301
90302,rambutan_02_mouth,2269,,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90302
90303,rambutan_03_mouth,2270,,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90303
90304,rambutan_04_mouth,2271,,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90304
90401,rambutan_01_back,2272,,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90401
90402,rambutan_02_back,2273,,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90402
90403,rambutan_03_back,2274,,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90403
90404,rambutan_04_back,2275,,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90404
90501,rambutan_01_tail,2276,,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90501
90502,rambutan_02_tail,2277,,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90502
90503,rambutan_03_tail,2278,,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90503
90504,rambutan_04_tail,2279,,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,res_parts_icon_90504
100101,dragonfruit_01_headparts,2280,,10,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,,res_parts_icon_100101
100201,dragonfruit_01_eyes,2281,,10,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,res_parts_icon_100201
100301,dragonfruit_01_mouth,2282,,10,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,,res_parts_icon_100301
100401,dragonfruit_01_back,2283,,10,3,4,0,0,0,0,0,0,0,1,3,3,0,0,0,,res_parts_icon_100401
100501,dragonfruit_01_tail,2284,,10,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,res_parts_icon_100501
100601,dragonfruit_01_wing,2285,,10,3,6,0,0,0,0,0,0,5,0,0,0,1,1,1,,res_parts_icon_100601
