idx,lv,condition_type,condition_value,lv_up_item_1,lv_up_item1_val,lv_up_item_2,lv_up_item2_val,lv_up_item_3,lv_up_item3_val,lv_up_cost1_type,lv_up_cost1_val,lv_up_cost2_type,lv_up_cost2_val,main_act_rate,main_act_rate_value,main_act_ref,main_act_ref_type,main_act_value_type,main_act_value,main_act_turn,sub_act1_rate,sub_act1_rate_value,sub_act1_ref,sub_act1_ref_type,sub_act1_value_type,sub_act1_value,sub_act1_turn,sub_act2_rate,sub_act2_rate_value,sub_act1_ref,sub_act1_ref_type,sub_act1_value_type,sub_act2_value,sub_act2_turn
1020404,3,,,1,10,2,10,3,20,1,3000,3,500,100,,5,0,5,7,,,,,,,,,,,,,,,
2010101,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,3,2,100,2,,,,,,,
2010102,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,4,2,20,2,,,,,,,
2010103,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,2,2,60,,,,,,,,
2010201,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,70,,1,6,2,40,3,,,,,,,
2010201,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,130,,70,,1,6,2,50,3,,,,,,,
2010201,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,70,,1,6,2,60,3,,,,,,,
2010202,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,7,,,,,,,,,,,,,,,
2010202,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,10,,,,,,,,,,,,,,,
2010202,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,12,,,,,,,,,,,,,,,
2010203,1,,,1,10,2,10,3,20,1,1000,,,100,,1,2,2,60,,,,,,,,,,,,,,,
2010203,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,2,2,70,,,,,,,,,,,,,,,
2010203,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,2,2,80,,,,,,,,,,,,,,,
2010204,1,,,1,10,2,10,3,20,1,1000,,,100,,1,4,2,80,2,20,,1,4,2,50,2,,,,,,,
2010204,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,4,2,80,3,20,,1,4,2,50,3,,,,,,,
2010204,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,4,2,80,4,20,,1,4,2,50,4,,,,,,,
2010301,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,20,,1,3,2,100,,,,,,,,
2010301,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,130,,20,,1,3,2,120,,,,,,,,
2010301,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,20,,1,3,2,140,,,,,,,,
2010302,1,,,1,10,2,10,3,20,1,1000,,,100,,2,2,2,70,,100,,1,2,2,15,,10,,1,2,2,15,
2010302,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,2,2,80,,100,,1,2,2,20,,10,,1,2,2,20,
2010302,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,2,2,90,,100,,1,2,2,25,,10,,1,2,2,25,
2010303,1,,,1,10,2,10,3,20,1,1000,,,100,,2,7,3,20,3,40,,2,7,3,10,3,,,,,,,
2010303,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,7,3,30,3,40,,2,7,3,15,3,,,,,,,
2010303,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,7,3,40,3,40,,2,7,3,20,3,,,,,,,
2010304,1,,,1,10,2,10,3,20,1,1000,,,,,,,,,,30,,2,12,1,7,4,,,,,,,
2010304,2,,,1,10,2,10,3,20,1,2000,3,200,,,,,,,,30,,2,12,1,10,4,,,,,,,
2010304,3,,,1,10,2,10,3,20,1,3000,3,500,,,,,,,,30,,2,12,1,15,4,,,,,,,
2020401,1,,,1,10,2,10,3,20,1,1000,,,101,6,,,,1,,,,,,,,,,,,,,,
2020401,2,,,1,10,2,10,3,20,1,2000,3,200,101,6,,,,2,,,,,,,,,,,,,,,
2020401,3,,,1,10,2,10,3,20,1,3000,3,500,101,6,,,,3,,,,,,,,,,,,,,,
2020402,1,,,1,10,2,10,3,20,1,1000,,,100,,,5,1,3,1,20,,1,3,2,120,1,,,,,,,
2020402,2,,,1,10,2,10,3,20,1,2000,3,200,100,,,5,1,3,1,20,,1,3,2,130,1,,,,,,,
2020402,3,,,1,10,2,10,3,20,1,3000,3,500,100,,,5,1,3,1,20,,1,3,2,140,1,,,,,,,
2020403,1,,,1,10,2,10,3,20,1,1000,,,100,,1,4,2,50,,,,,,,,,,,,,,,
2020403,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,4,2,60,,,,,,,,,,,,,,,
2020403,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,4,2,70,,,,,,,,,,,,,,,
2020404,1,,,1,10,2,10,3,20,1,1000,,,100,,1,10,2,30,,,,,,,,,,,,,,,
2020404,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,10,2,40,,,,,,,,,,,,,,,
2020404,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,10,2,50,,,,,,,,,,,,,,,
4010101,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,,,,,2,,,,,,,
4010102,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,2,2,20,3,,,,,,,
4010103,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,4,2,150,3,,,,,,,
4010201,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,30,,,,,,1,,,,,,,
4010201,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,30,,,,,,2,,,,,,,
4010201,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,30,,,,,,3,,,,,,,
4010202,1,,,1,10,2,10,3,20,1,1000,,,100,,1,2,2,20,3,,,,,,,,,,,,,,
4010202,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,2,2,30,3,,,,,,,,,,,,,,
4010202,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,2,2,40,3,,,,,,,,,,,,,,
4010203,1,,,1,10,2,10,3,20,1,1000,,,100,,1,4,2,160,2,,,,,,,,,,,,,,
4010203,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,4,2,180,2,,,,,,,,,,,,,,
4010203,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,4,2,200,2,,,,,,,,,,,,,,
4010204,1,,,1,10,2,10,3,20,1,1000,,,100,,,,,,3,70,,1,2,2,30,2,,,,,,,
4010204,2,,,1,10,2,10,3,20,1,2000,3,200,100,,,,,,3,70,,1,2,2,40,2,,,,,,,
4010204,3,,,1,10,2,10,3,20,1,3000,3,500,100,,,,,,3,70,,1,2,2,50,2,,,,,,,
4010301,1,,,1,10,2,10,3,20,1,1000,,,100,,1,2,2,15,3,30,,,,,,2,,,,,,,
4010301,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,2,2,20,3,30,,,,,,2,,,,,,,
4010301,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,2,2,30,3,30,,,,,,2,,,,,,,
4010302,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,140,,10,,,,,,2,,,,,,,
4010302,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,160,,10,,,,,,2,,,,,,,
4010302,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,180,,10,,,,,,2,,,,,,,
4010303,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,100,,100,,1,15,2,120,,100,,,,,,
4010303,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,120,,100,,1,15,2,120,,100,,,,,,
4010303,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,100,,1,15,2,120,,100,,,,,,
4010304,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,,,,,,,,,,,,,,
4010304,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,130,,,,,,,,,,,,,,,
4010304,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,,,,,,,,,,,,,,
4020401,1,,,1,10,2,10,3,20,1,1000,,,100,,1,2,2,20,,,,,,,,,,,,,,,
4020401,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,2,2,30,,,,,,,,,,,,,,,
4020401,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,2,2,40,,,,,,,,,,,,,,,
4020402,1,,,1,10,2,10,3,20,1,1000,,,20,,1,2,2,20,,,,,,,,,,,,,,,
4020402,2,,,1,10,2,10,3,20,1,2000,3,200,20,,1,2,2,30,,,,,,,,,,,,,,,
4020402,3,,,1,10,2,10,3,20,1,3000,3,500,20,,1,2,2,40,,,,,,,,,,,,,,,
4020403,1,,,1,10,2,10,3,20,1,1000,,,100,,1,2,2,10,,20,,1,4,2,120,1,,,,,,,
4020403,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,2,2,15,,20,,1,4,2,140,1,,,,,,,
4020403,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,2,2,20,,20,,1,4,2,160,1,,,,,,,
4020404,1,,,1,10,2,10,3,20,1,1000,,,100,,6,4,6,5,,,,,,,,,,,,,,,
4020404,2,,,1,10,2,10,3,20,1,2000,3,200,100,,6,4,6,6,,,,,,,,,,,,,,,
4020404,3,,,1,10,2,10,3,20,1,3000,3,500,100,,6,4,6,7,,,,,,,,,,,,,,,
5010101,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,,,,,,,,,,,,
5010102,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,3,2,150,2,,,,,,,
5010103,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,1,11,3,40,2,,,,,,,
5010201,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,100,,20,,,,,,,,,,,,,
5010201,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,120,,20,,,,,,,,,,,,,
5010201,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,20,,,,,,,,,,,,,
5010202,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,40,,40,,,,,,,,,,,,,
5010202,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,50,,40,,,,,,,,,,,,,
5010202,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,60,,40,,,,,,,,,,,,,
5010203,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,30,,30,,1,11,3,10,2,,,,,,,
5010203,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,40,,30,,1,11,3,12,2,,,,,,,
5010203,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,50,,30,,1,11,3,14,2,,,,,,,
5010204,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,140,,20,,,,,,2,,,,,,,
5010204,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,160,,20,,,,,,2,,,,,,,
5010204,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,180,,20,,,,,,2,,,,,,,
5010301,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,,,,,,,,,,,,,,
5010301,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,,,,,,,,,,,,,,
5010301,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,180,,,,,,,,,,,,,,,
5010302,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,100,,1,3,2,120,,5,,,,,,
5010302,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,100,,1,3,2,140,,5,,,,,,
5010302,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,100,,1,3,2,160,,5,,,,,,
5010303,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,200,,100,,1,3,2,120,,,,,,,,
5010303,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,220,,100,,1,3,2,140,,,,,,,,
5010303,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,240,,100,,1,3,2,160,,,,,,,,
5010304,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,100,,1,3,2,150,,,,,,,,
5010304,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,100,,1,3,2,200,,,,,,,,
5010304,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,100,,1,3,2,250,,,,,,,,
5020401,1,,,1,10,2,10,3,20,1,1000,,,100,,9,0,7,15,,,,,,,,,,,,,,,
5020401,2,,,1,10,2,10,3,20,1,2000,3,200,100,,9,0,7,20,,,,,,,,,,,,,,,
5020401,3,,,1,10,2,10,3,20,1,3000,3,500,100,,9,0,7,25,,,,,,,,,,,,,,,
5020402,1,,,1,10,2,10,3,20,1,1000,,,100,,6,0,7,2,,,,,,,,,,,,,,,
5020402,2,,,1,10,2,10,3,20,1,2000,3,200,100,,6,0,7,4,,,,,,,,,,,,,,,
5020402,3,,,1,10,2,10,3,20,1,3000,3,500,100,,6,0,7,6,,,,,,,,,,,,,,,
5020403,1,,,1,10,2,10,3,20,1,1000,,,100,,10,4,6,5,,100,,10,3,6,5,,,,,,,,
5020403,2,,,1,10,2,10,3,20,1,2000,3,200,100,,10,4,6,10,,100,,10,3,6,10,,,,,,,,
5020403,3,,,1,10,2,10,3,20,1,3000,3,500,100,,10,4,6,15,,100,,10,3,6,15,,,,,,,,
5020404,1,,,1,10,2,10,3,20,1,1000,,,20,,,,,,2,,,,,,,,,,,,,,
5020404,2,,,1,10,2,10,3,20,1,2000,3,200,20,,,,,,2,,,,,,,,,,,,,,
5020404,3,,,1,10,2,10,3,20,1,3000,3,500,20,,,,,,2,,,,,,,,,,,,,,
8010101,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,2,6,2,30,2,,,,,,,
8010102,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,2,11,2,30,2,,,,,,,
8010103,0,,,,,,,,,,,,,100,,1,3,2,100,,100,,2,7,2,30,2,,,,,,,
8010201,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,110,,40,,,,,,2,,,,,,,
8010201,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,120,,40,,,,,,2,,,,,,,
8010201,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,140,,40,,,,,,2,,,,,,,
8010202,1,,,1,10,2,10,3,20,1,1000,,,100,,,,,2,3,100,,,,,1,3,,,,,,,
8010202,2,,,1,10,2,10,3,20,1,2000,3,200,100,,,,,3,3,100,,,,,2,3,,,,,,,
8010202,3,,,1,10,2,10,3,20,1,3000,3,500,100,,,,,4,3,100,,,,,3,3,,,,,,,
8010203,1,,,1,10,2,10,3,20,1,1000,,,100,,4,4,2,20,2,100,,1,4,2,10,6,100,,2,4,2,30,2
8010203,2,,,1,10,2,10,3,20,1,2000,3,200,100,,4,4,2,25,2,100,,1,4,2,15,6,100,,2,4,2,35,2
8010203,3,,,1,10,2,10,3,20,1,3000,3,500,100,,4,4,2,30,2,100,,1,4,2,20,6,100,,2,4,2,40,2
8010204,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,50,,,,,,2,,,,,,,
8010204,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,50,,,,,,2,,,,,,,
8010204,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,50,,,,,,2,,,,,,,
8010301,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,60,,2,8,2,20,2,,,,,,,
8010301,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,60,,2,8,2,25,2,,,,,,,
8010301,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,60,,2,8,2,30,2,,,,,,,
8010302,1,,,1,10,2,10,3,20,1,1000,,,100,,2,2,2,30,3,100,,1,2,2,15,3,,,,,,,
8010302,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,2,2,35,3,100,,1,2,2,20,3,,,,,,,
8010302,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,2,2,40,3,100,,1,2,2,25,3,,,,,,,
8010303,1,,,1,10,2,10,3,20,1,1000,,,100,,2,3,2,20,2,100,,1,3,2,10,6,40,,2,3,2,30,2
8010303,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,3,2,25,2,100,,1,3,2,15,6,40,,2,3,2,35,2
8010303,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,3,2,30,2,100,,1,3,2,20,6,40,,2,3,2,40,2
8010304,1,,,1,10,2,10,3,20,1,1000,,,100,,1,3,2,120,,60,,4,5,2,10,2,,,,,,,
8010304,2,,,1,10,2,10,3,20,1,2000,3,200,100,,1,3,2,140,,60,,4,5,2,20,2,,,,,,,
8010304,3,,,1,10,2,10,3,20,1,3000,3,500,100,,1,3,2,160,,60,,4,5,2,30,2,,,,,,,
8020401,1,,,1,10,2,10,3,20,1,1000,,,100,,2,8,2,15,,,,,,,,,,,,,,,
8020401,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,8,2,20,,,,,,,,,,,,,,,
8020401,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,8,2,25,,,,,,,,,,,,,,,
8020402,1,,,1,10,2,10,3,20,1,1000,,,100,,2,12,1,5,,20,,,,,,2,,,,,,,
8020402,2,,,1,10,2,10,3,20,1,2000,3,200,100,,2,12,1,7,,20,,,,,,2,,,,,,,
8020402,3,,,1,10,2,10,3,20,1,3000,3,500,100,,2,12,1,10,,20,,,,,,2,,,,,,,
8020403,1,,,1,10,2,10,3,20,1,1000,,,30,,11,2,6,10,,,,,,,,,,,,,,,
8020403,2,,,1,10,2,10,3,20,1,2000,3,200,30,,11,2,6,15,,,,,,,,,,,,,,,
8020403,3,,,1,10,2,10,3,20,1,3000,3,500,30,,11,2,6,20,,,,,,,,,,,,,,,
8020404,1,,,1,10,2,10,3,20,1,1000,,,100,,12,9,6,5,,,,,,,,,,,,,,,
8020404,2,,,1,10,2,10,3,20,1,2000,3,200,100,,12,9,6,7,,,,,,,,,,,,,,,
8020404,3,,,1,10,2,10,3,20,1,3000,3,500,100,,12,9,6,10,,,,,,,,,,,,,,,
