idx,name,desc,max_lv,lv_up_cost1_type,lv_up_cost2_type,type,cool_turn,target,target_type,target_condition,main_trigger,main_act,main_act_count,main_act_id,main_act_ani_type,res_main_act_run_ani,res_main_act_run_fx,res_main_act_ani,res_main_act_ani2,res_main_act_fx,main_act_fx_type,res_main_act_fx_projectile,res_main_act_fx_hit,sub_act1_type,sub_act1_trigger,sub_act1,sub_act1_count,sub_act1_id,sub_act1_ani_type,res_sub_act1_run_ani,res_sub_act1_run_fx,res_sub_act1_ani,res_sub_act1_fx,sub_act1_fx_type,res_sub_act1_fx_projectile,res_sub_act1_fx_hit,sub_act1_target,sub_act1_target_condition,sub_act1_target_type,sub_act2_type,sub_act2_trigger,sub_act2,sub_act2_count,sub_act2_id,sub_act1_ani_type,res_sub_act1_run_ani,res_sub_act1_run_fx,res_sub_act1_ani,res_sub_act1_fx,sub_act2_fx_type,res_sub_act1_fx_projectile,res_sub_act1_fx_hit,sub_act2_target,sub_act2_target_condition,sub_act2_target_type,res_atlas,res_icon
2020402,4022,4527,3,1,3,2,0,2,2,22,1,4,1,100004,1,,,ca@ca_ani_buff1,,,,,,3,0,4,1,100002,1,,,ca@ca_ani_buff1,,,,,2,{22;26},,,,,,,,,,,,,,,,,,,
2020403,4023,4528,3,1,3,2,0,2,2,28,1,4,1,100003,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020404,4024,4529,3,1,3,2,0,2,2,2,1,4,1,100010,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010101,4000,4530,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_body_attack1,,,,,fx_skill_coconut_body_hit,1,18,5,1,7,,,,om@om_ani_cc_provo,,,,,1,,,,,,,,,,,,,,,,,,,,
4010102,4000,4531,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_body_attack1,,,,,fx_skill_coconut_body_hit,1,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010103,4000,4532,0,,,1,0,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_body_attack1,,,,,fx_skill_coconut_body_hit,1,18,4,1,100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010201,4037,4533,3,1,3,1,3,3,1,2,0,1,1,,1,,,ca@ca_coconut_stomp,,fx_coconut_pirate_02_casting,3,object_ani_coconut_drop_prjtile1,object_ani_coconut_drop1,1,0,5,1,1,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
4010202,4038,4534,3,1,3,1,4,2,4,2,0,5,1,12,1,,,ca@ca_orange_Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010203,4039,4535,3,1,3,1,4,1,1,2,0,4,1,100003,1,,,ca@ca_orange_Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010204,4040,4536,3,1,3,1,3,1,1,2,0,5,1,7,1,,,ca@ca_ani_cc_provo,,,,,,1,0,5,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010301,4041,4537,3,1,3,1,4,1,1,2,3,2,1,,1,,,ca@ca_singing_03,,,,,,3,0,5,1,7,1,,,ca@ca_ani_cc_provo,,,,,1,2,,,,,,,,,,,,,,,,,,,
4010302,4042,4538,3,1,3,1,3,3,1,{2;23},0,1,1,,1,,,ca@ca_coconut_tail_shot,,,1,fx_skill_coconut_tail_shot_Projectile,fx_skill_coconut_tail_shot_Hit,1,0,5,1,1,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
4010303,4043,4539,3,1,3,1,4,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_ani_attack6,,,,,fx_skill_hit_01,1,29,1,1,,,,,,,,,fx_shield_destory_hit,4,2,1,2,29,9,1,,,,,,,,,,,,,,
4010304,4044,4540,3,1,3,1,3,3,{2;3},2,0,1,1,,1,ca@ca_watermelon_jump_attack,,,,,1,fx_kill_earthquake_01,fx_skill_hit_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020401,4045,4541,3,1,3,2,0,2,2,29,2,5,1,12,1,,,ca@ca_orange_Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020402,4046,4542,3,1,3,2,0,1,1,35,12,2,1,,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020403,4047,4543,3,1,3,2,0,1,1,{2;22},3,2,1,,1,,,ca@ca_ani_buff1,,,,,,1,0,4,1,100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020404,4048,4544,3,1,3,2,0,1,1,2,1,4,1,100003,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010101,4000,4545,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_throw_attack1,,,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,1,16,4,1,100021,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
5010102,4000,4546,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_throw_attack1,,,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,1,16,4,1,100002,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5010103,4000,4547,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_throw_attack1,,,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,1,16,4,1,100006,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5010201,4049,4548,3,1,3,1,3,3,1,{2;25},0,1,3,,1,,,ca@ca_blueberry_bubble_shotgun,,,1,fx_skill_blueberry_bullet01_projecttile,fx_skill_blueberry_gun_Hit,1,0,4,1,100021,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
5010202,4050,4549,3,1,3,1,3,3,1,2,0,1,3,,1,,,ca@ca_ani_backshoot_3,,,2,fx_skill_blueberry_bullet02_projecttile,fx_skill_blueberry_gun_hit2,1,0,5,1,100021,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
5010203,4051,4550,3,1,3,1,3,3,1,2,0,1,4,,1,,,ca@ca_blueberry_berry_gun,,,1,fx_skill_blueberry_gun,fx_skill_blueberry_gun_hit2,1,12,4,1,100006,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5010204,4052,4551,3,1,3,1,4,3,1,2,0,1,1,,1,,,ca@ca_blueberry_parabola_shot,,,2,fx_skill_blueberry_bullet03_projecttile,fx_skill_buleberry_gun_hit3,1,0,5,1,2,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
5010301,4053,4552,3,1,3,1,4,3,3,2,0,1,3,,1,,,ca@ca_blueberry_tumbling_shot,,fx_skill_orange_rolling_attack,2,fx_skill_blueberry_tumbling_shot,fx_skill_blueberry_gun_Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010302,4054,4553,3,1,3,1,3,3,1,2,0,1,1,,1,,,ca@ca_ani_throw_attack1,,,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,3,30,9,1,,,,,ca@ca_ani_throw_attack1,,2,fx_skill_blueberry_throwshoot2_projecttile,fx_skill_blueberry_gun_Hit2,3,{2;23},1,2,0,10,1,,,,,,,,,,4,2,,,
5010303,4055,4554,3,1,3,1,4,3,1,2,31,1,1,,1,,,ca@ca_coconut_tail_shot,,fx_skill_shoot_effect_01,1,fx_skill_blueberry_bullet04_projecttile,fx_skill_blueberry_gun_hit2,4,0,1,1,,1,,,ca@ca_coconut_tail_shot,fx_skill_shoot_effect_01,1,fx_skill_blueberry_bullet04_projecttile,fx_skill_blueberry_gun_hit2,4,2,,,,,,,,,,,,,,,,,,,
5010304,4056,4555,3,1,3,1,4,3,1,2,0,1,1,,1,,,ca@ca_coconut_tail_shot2,,fx_skill_shoot_effect_02,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,3,23,1,1,,1,,,ca@ca_coconut_tail_shot2,fx_skill_shoot_effect_02,2,fx_skill_blueberry_throwshoot_projecttile,fx_skill_blueberry_gun_Hit,3,37,1,,,,,,,,,,,,,,,,,,
5020401,4057,4556,3,1,3,2,0,1,1,2,2,4,1,100009,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5020402,4058,4557,3,1,3,2,0,1,1,2,2,4,1,100005,1,,,ca@ca_ani_buff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5020403,4059,4558,3,1,3,2,0,1,1,2,2,4,1,200003,1,,,ca@ca_ani_debuff1,,,,,,1,0,4,1,100002,1,,,ca@ca_ani_buff1,,,,,1,2,,,,,,,,,,,,,,,,,,,
5020404,4060,4559,3,1,3,2,0,3,1,2,28,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8010101,4000,4560,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_banana_attack_01,,,1,fx_skill_banana_bullet01_projecttile,fx_skill_banana_hit1,1,17,4,1,200005,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
8010102,4000,4561,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_banana_attack_01,,,1,fx_skill_banana_bullet01_projecttile,fx_skill_banana_hit1,1,17,4,1,200006,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
8010103,4000,4562,0,,,1,0,3,1,2,0,1,1,,1,,,ca@ca_ani_banana_attack_01,,,1,fx_skill_banana_bullet01_projecttile,fx_skill_banana_hit1,1,17,4,1,200007,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
8010201,4061,4563,3,1,3,1,3,3,1,2,0,1,1,,3,ca@ca_ani_run,,ca@ca_ani_banana_attack_01_up,ca@ca_ani_banana_attack_01_down,,,,fx_skill_coconut_body_hit,1,0,5,1,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
8010202,4062,4564,3,1,3,1,4,3,1,2,0,4,1,200013,1,,,ca@ca_spell_attack_01,,fx_skill_spell_01,,,,1,0,4,1,200013,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8010203,4063,4565,3,1,3,1,2,3,1,2,0,4,1,200003,1,,,ca@ca_spell_attack_02,,fx_skill_spell_02,,,,1,0,4,1,200003,,,,,,,,,1,,,3,33,4,1,200003,,,,,,,,,3,2,2,,
8010204,4064,4566,3,1,3,1,3,3,1,2,0,1,1,,1,,,ca@ca_orange_moon_sword,,,,fx_skill_banana_bullet02_projecttile,fx_skill_banana_hit1,1,0,5,1,1,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
8010301,4065,4567,3,1,3,1,3,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_orange_tail_drill,,fx_skill_banana_tail_atk1,,,fx_skill_banana_hit1,1,0,4,1,200008,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
8010302,4066,4568,3,1,3,1,4,3,1,2,0,4,1,200001,1,,,ca@ca_spell_attack_02,,fx_skill_spell_03,,,,1,0,4,1,200001,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
8010303,4067,4569,3,1,3,1,2,3,1,2,0,4,1,200002,1,,,ca@ca_ani_attack6,,fx_skill_spell_04,,,,1,0,4,1,200002,,,,,,,,,1,2,,3,34,4,1,200002,,,,,,,,,3,2,2,,
8010304,4068,4570,3,1,3,1,3,3,1,2,0,1,1,,2,ca@ca_ani_run,,ca@ca_orange_tail_knife,,fx_skill_banana_tail_atk2,,,fx_skill_hit_01,1,0,4,1,200004,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,
8020401,4069,4571,3,1,3,2,0,3,2,{31;2},2,4,1,200008,1,,,ca@ca_ani_debuff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8020402,4070,4572,3,1,3,2,0,3,2,{29;2},2,4,1,200011,1,,,ca@ca_ani_debuff1,,,,,,3,0,5,1,4,,,,,,,,,3,{29;23},1,,,,,,,,,,,,,,,,,,
8020403,4071,4573,3,1,3,2,0,1,1,2,3,2,1,,1,,,ca@ca_singing_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8020404,4072,4574,3,1,3,2,0,3,2,{32;2},2,4,1,200009,1,,,ca@ca_ani_debuff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
