idx,class_name,category,max_lv,minting_lv,class,grade,attribute,talent,role,init_coef,hp_coef,atk_coef,def_coef,spd_coef,skill,skill_slot_coef,res_atlas,res_icon,res_base
353,2002,Nft,120,90,3,5,1,3,1,10,10,10,10,10,1010302,15,ui_atlas_skill,ui_icon_class_3,om_durian_01
411,2003,Normal,120,80,4,1,2,1,1,23,30,17,28,11,4010101,10,ui_atlas_skill,ui_icon_class_4,ca_coconut_01
412,2003,Normal,120,80,4,1,2,2,1,26,30,7,35,11,4010102,10,ui_atlas_skill,ui_icon_class_4,he_coconut_01
413,2003,Normal,120,80,4,1,2,3,1,22,29,12,28,23,4010103,10,ui_atlas_skill,ui_icon_class_4,om_coconut_01
511,2004,Normal,120,80,5,1,2,1,2,21,16,59,13,25,5010101,10,ui_atlas_skill,ui_icon_class_5,ca_blueberry_01
512,2004,Normal,120,80,5,1,2,2,2,22,22,41,22,15,5010102,10,ui_atlas_skill,ui_icon_class_5,he_blueberry_01
513,2004,Normal,120,80,5,1,2,3,2,22,14,36,26,28,5010103,10,ui_atlas_skill,ui_icon_class_5,om_blueberry_01
421,2003,Nft,120,80,4,2,2,1,1,23,30,17,28,11,1010303,10,ui_atlas_skill,ui_icon_class_4,ca_coconut_01
422,2003,Nft,120,80,4,2,2,2,1,26,30,7,35,11,1010304,10,ui_atlas_skill,ui_icon_class_4,he_coconut_01
423,2003,Nft,120,80,4,2,2,3,1,22,29,12,28,23,1020401,10,ui_atlas_skill,ui_icon_class_4,om_coconut_01
521,2004,Nft,120,80,5,2,2,1,2,21,16,59,13,25,1020402,10,ui_atlas_skill,ui_icon_class_5,ca_blueberry_01
522,2004,Nft,120,80,5,2,2,2,2,22,22,41,22,15,1020403,10,ui_atlas_skill,ui_icon_class_5,he_blueberry_01
523,2004,Nft,120,80,5,2,2,3,2,22,14,36,26,28,1020404,10,ui_atlas_skill,ui_icon_class_5,om_blueberry_01
431,2003,Nft,120,80,4,3,2,1,1,10,10,10,10,10,1010303,10,ui_atlas_skill,ui_icon_class_4,ca_coconut_01
432,2003,Nft,120,80,4,3,2,2,1,10,10,10,10,10,1010304,10,ui_atlas_skill,ui_icon_class_4,he_coconut_01
433,2003,Nft,120,80,4,3,2,3,1,10,10,10,10,10,1020401,10,ui_atlas_skill,ui_icon_class_4,om_coconut_01
531,2004,Nft,120,80,5,3,2,1,2,10,10,10,10,10,1020402,10,ui_atlas_skill,ui_icon_class_5,ca_blueberry_01
532,2004,Nft,120,80,5,3,2,2,2,10,10,10,10,10,1020403,10,ui_atlas_skill,ui_icon_class_5,he_blueberry_01
533,2004,Nft,120,80,5,3,2,3,2,10,10,10,10,10,1020404,10,ui_atlas_skill,ui_icon_class_5,om_blueberry_01
641,2005,Normal,120,90,6,4,2,1,3,10,10,10,10,10,1010101,15,ui_atlas_skill,ui_icon_class_6,ca_melon_01
642,2005,Normal,120,90,6,4,2,2,3,10,10,10,10,10,1010102,15,ui_atlas_skill,ui_icon_class_6,he_melon_01
643,2005,Normal,120,90,6,4,2,3,3,10,10,10,10,10,1010103,15,ui_atlas_skill,ui_icon_class_6,om_melon_01
651,2005,Nft,120,90,6,5,2,1,3,10,10,10,10,10,1010101,15,ui_atlas_skill,ui_icon_class_6,ca_melon_01
652,2005,Nft,120,90,6,5,2,2,3,10,10,10,10,10,1010102,15,ui_atlas_skill,ui_icon_class_6,he_melon_01
653,2005,Nft,120,90,6,5,2,3,3,10,10,10,10,10,1010103,15,ui_atlas_skill,ui_icon_class_6,om_melon_01
711,2006,Normal,120,80,7,1,3,1,1,10,10,10,10,10,1010201,10,ui_atlas_skill,ui_icon_class_7,ca_pineapple_01
712,2006,Normal,120,80,7,1,3,2,1,10,10,10,10,10,1010202,10,ui_atlas_skill,ui_icon_class_7,he_pineapple_01
713,2006,Normal,120,80,7,1,3,3,1,10,10,10,10,10,1010203,10,ui_atlas_skill,ui_icon_class_7,om_pineapple_01
811,2007,Normal,120,80,8,1,3,1,3,21,13,33,23,40,1010204,10,ui_atlas_skill,ui_icon_class_8,ca_banana_01
812,2007,Normal,120,80,8,1,3,2,3,23,20,18,24,36,1010301,10,ui_atlas_skill,ui_icon_class_8,he_banana_01
813,2007,Normal,120,80,8,1,3,3,3,22,18,18,32,30,1010302,10,ui_atlas_skill,ui_icon_class_8,om_banana_01
721,2006,Nft,120,80,7,2,3,1,1,10,10,10,10,10,1010201,10,ui_atlas_skill,ui_icon_class_7,ca_pineapple_01
722,2006,Nft,120,80,7,2,3,2,1,10,10,10,10,10,1010202,10,ui_atlas_skill,ui_icon_class_7,he_pineapple_01
723,2006,Nft,120,80,7,2,3,3,1,10,10,10,10,10,1010203,10,ui_atlas_skill,ui_icon_class_7,om_pineapple_01
821,2007,Nft,120,80,8,2,3,1,3,10,10,10,10,10,1010204,10,ui_atlas_skill,ui_icon_class_8,ca_banana_01
822,2007,Nft,120,80,8,2,3,2,3,10,10,10,10,10,1010301,10,ui_atlas_skill,ui_icon_class_8,he_banana_01
823,2007,Nft,120,80,8,2,3,3,3,10,10,10,10,10,1010302,10,ui_atlas_skill,ui_icon_class_8,om_banana_01
731,2006,Nft,120,80,7,3,3,1,1,10,10,10,10,10,1010201,10,ui_atlas_skill,ui_icon_class_7,ca_pineapple_01
732,2006,Nft,120,80,7,3,3,2,1,10,10,10,10,10,1010202,10,ui_atlas_skill,ui_icon_class_7,he_pineapple_01
733,2006,Nft,120,80,7,3,3,3,1,10,10,10,10,10,1010203,10,ui_atlas_skill,ui_icon_class_7,om_pineapple_01
831,2007,Nft,120,80,8,3,3,1,3,10,10,10,10,10,1010204,10,ui_atlas_skill,ui_icon_class_8,ca_banana_01
832,2007,Nft,120,80,8,3,3,2,3,10,10,10,10,10,1010301,10,ui_atlas_skill,ui_icon_class_8,he_banana_01
833,2007,Nft,120,80,8,3,3,3,3,10,10,10,10,10,1010302,10,ui_atlas_skill,ui_icon_class_8,om_banana_01
941,2008,Normal,120,90,9,4,3,1,2,10,10,10,10,10,1010303,15,ui_atlas_skill,ui_icon_class_9,ca_rambutan_01
942,2008,Normal,120,90,9,4,3,2,2,10,10,10,10,10,1010304,15,ui_atlas_skill,ui_icon_class_9,he_rambutan_01
943,2008,Normal,120,90,9,4,3,3,2,10,10,10,10,10,1020401,15,ui_atlas_skill,ui_icon_class_9,om_rambutan_01
951,2008,Nft,120,90,9,5,3,1,2,10,10,10,10,10,1010303,15,ui_atlas_skill,ui_icon_class_9,ca_rambutan_01
952,2008,Nft,120,90,9,5,3,2,2,10,10,10,10,10,1010304,15,ui_atlas_skill,ui_icon_class_9,he_rambutan_01
953,2008,Nft,120,90,9,5,3,3,2,10,10,10,10,10,1020401,15,ui_atlas_skill,ui_icon_class_9,om_rambutan_01
1061,2009,Nft,120,100,10,6,4,1,4,31,30,41,26,39,1020402,20,ui_atlas_skill,ui_icon_class_10,ca_dragonfruit_01
