level,exp,
190,2054997,
191,2087530,
192,2120406,
193,2153626,
194,2187192,
195,2221106,
196,2255370,
197,2289986,
198,2324955,
199,2360279,
200,2395960,
201,2432000,
202,2468401,
203,2505164,
204,2542291,
205,2579784,
206,2617645,
207,2655876,
208,2694478,
209,2733453,
210,2772803,
211,2812530,
212,2852636,
213,2893122,
214,2933990,
215,2975242,
216,3016880,
217,3058906,
218,3101321,
219,3144127,
220,3187326,
221,3230920,
222,3274911,
223,3319300,
224,3364089,
225,3409280,
226,3454875,
227,3500876,
228,3547284,
229,3594101,
230,3641329,
231,3688970,
232,3737026,
233,3785498,
234,3834388,
235,3883698,
236,3933430,
237,3983586,
238,4034167,
239,4085175,
240,4136612,
241,4188480,
242,4240781,
243,4293516,
244,4346687,
245,4400296,
246,4454345,
247,4508836,
248,4563770,
249,4619149,
250,4674975,
251,4731250,
252,4787976,
253,4845154,
254,4902786,
255,4960874,
256,5019420,
257,5078426,
258,5137893,
259,5197823,
260,5258218,
261,5319080,
262,5380411,
263,5442212,
264,5504485,
265,5567232,
266,5630455,
267,5694156,
268,5758336,
269,5822997,
270,5888141,
271,5953770,
272,6019886,
273,6086490,
274,6153584,
275,6221170,
276,6289250,
277,6357826,
278,6426899,
279,6496471,
280,6566544,
281,6637120,
282,6708201,
283,6779788,
284,6851883,
285,6924488,
286,6997605,
287,7071236,
288,7145382,
289,7220045,
290,7295227,
291,7370930,
292,7447156,
293,7523906,
294,7601182,
295,7678986,
296,7757320,
297,7836186,
298,7915585,
299,7995519,
300,8075990,
301,8157000,
302,8238551,
303,8320644,
304,8403281,
305,8486464,
306,8570195,
307,8654476,
308,8739308,
309,8824693,
310,8910633,
311,8997130,
312,9084186,
313,9171802,
314,9259980,
315,9348722,
316,9438030,
317,9527906,
318,9618351,
319,9709367,
320,9800956,
321,9893120,
322,9985861,
323,10079180,
324,10173079,
325,10267560,
326,10362625,
327,10458276,
328,10554514,
329,10651341,
330,10748759,
331,10846770,
332,10945376,
333,11044578,
334,11144378,
335,11244778,
336,11345780,
337,11447386,
338,11549597,
339,11652415,
340,11755842,
341,11859880,
342,11964531,
343,12069796,
344,12175677,
345,12282176,
346,12389295,
347,12497036,
348,12605400,
349,12714389,
350,12824005,
351,12934250,
352,13045126,
353,13156634,
354,13268776,
355,13381554,
356,13494970,
357,13609026,
358,13723723,
359,13839063,
360,13955048,
361,14071680,
362,14188961,
363,14306892,
364,14425475,
365,14544712,
366,14664605,
367,14785156,
368,14906366,
369,15028237,
370,15150771,
371,15273970,
372,15397836,
373,15522370,
374,15647574,
375,15773450,
376,15900000,
377,16027226,
378,16155129,
379,16283711,
380,16412974,
381,16542920,
382,16673551,
383,16804868,
384,16936873,
385,17069568,
386,17202955,
387,17337036,
388,17471812,
389,17607285,
390,17743457,
391,17880330,
392,18017906,
393,18156186,
394,18295172,
395,18434866,
396,18575270,
397,18716386,
398,18858215,
399,19000759,
400,19144020,
401,19288000,
402,19432701,
403,19578124,
404,19724271,
405,19871144,
406,20018745,
407,20167076,
408,20316138,
409,20465933,
410,20616463,
411,20767730,
412,20919736,
413,21072482,
414,21225970,
415,21380202,
416,21535180,
417,21690906,
418,21847381,
419,22004607,
420,22162586,
421,22321320,
422,22480811,
423,22641060,
424,22802069,
425,22963840,
426,23126375,
427,23289676,
428,23453744,
429,23618581,
430,23784189,
431,23950570,
432,24117726,
433,24285658,
434,24454368,
435,24623858,
436,24794130,
437,24965186,
438,25137027,
439,25309655,
440,25483072,
441,25657280,
442,25832281,
443,26008076,
444,26184667,
445,26362056,
446,26540245,
447,26719236,
448,26899030,
449,27079629,
450,27261035,
451,27443250,
452,27626276,
453,27810114,
454,27994766,
455,28180234,
456,28366520,
457,28553626,
458,28741553,
459,28930303,
460,29119878,
461,29310280,
462,29501511,
463,29693572,
464,29886465,
465,30080192,
466,30274755,
467,30470156,
468,30666396,
469,30863477,
470,31061401,
471,31260170,
472,31459786,
473,31660250,
474,31861564,
475,32063730,
476,32266750,
477,32470626,
478,32675359,
479,32880951,
480,33087404,
481,33294720,
482,33502901,
483,33711948,
484,33921863,
485,34132648,
486,34344305,
487,34556836,
488,34770242,
489,34984525,
490,35199687,
491,35415730,
492,35632656,
493,35850466,
494,36069162,
495,36288746,
496,36509220,
497,36730586,
498,36952845,
499,37175999,
500,37400050,
501,37625000,
502,37850851,
503,38077604,
504,38305261,
505,38533824,
506,38763295,
507,38993676,
508,39224968,
509,39457173,
510,39690293,
511,39924330,
512,40159286,
513,40395162,
514,40631960,
515,40869682,
516,41108330,
517,41347906,
518,41588411,
519,41829847,
520,42072216,
521,42315520,
522,42559761,
523,42804940,
524,43051059,
525,43298120,
526,43546125,
527,43795076,
528,44044974,
529,44295821,
530,44547619,
531,44800370,
532,45054076,
533,45308738,
534,45564358,
535,45820938,
536,46078480,
537,46336986,
538,46596457,
539,46856895,
540,47118302,
541,47380680,
542,47644031,
543,47908356,
544,48173657,
545,48439936,
546,48707195,
547,48975436,
548,49244660,
549,49514869,
550,49786065,
551,50058250,
552,50331426,
553,50605594,
554,50880756,
555,51156914,
556,51434070,
557,51712226,
558,51991383,
559,52271543,
560,52552708,
561,52834880,
562,53118061,
563,53402252,
564,53687455,
565,53973672,
566,54260905,
567,54549156,
568,54838426,
569,55128717,
570,55420031,
571,55712370,
572,56005736,
573,56300130,
574,56595554,
575,56892010,
576,57189500,
577,57488026,
578,57787589,
579,58088191,
580,58389834,
581,58692520,
582,58996251,
583,59301028,
584,59606853,
585,59913728,
586,60221655,
587,60530636,
588,60840672,
589,61151765,
590,61463917,
591,61777130,
592,62091406,
593,62406746,
594,62723152,
595,63040626,
596,63359170,
597,63678786,
598,63999475,
599,64321239,
600,64644080,
601,64968000,
602,65293001,
603,65619084,
604,65946251,
605,66274504,
606,66603845,
607,66934276,
608,67265798,
609,67598413,
610,67932123,
611,68266930,
612,68602836,
613,68939842,
614,69277950,
615,69617162,
616,69957480,
617,70298906,
618,70641441,
619,70985087,
620,71329846,
621,71675720,
622,72022711,
623,72370820,
624,72720049,
625,73070400,
626,73421875,
627,73774476,
628,74128204,
629,74483061,
630,74839049,
631,75196170,
632,75554426,
633,75913818,
634,76274348,
635,76636018,
636,76998830,
637,77362786,
638,77727887,
639,78094135,
640,78461532,
641,78830080,
642,79199781,
643,79570636,
644,79942647,
645,80315816,
646,80690145,
647,81065636,
648,81442290,
649,81820109,
650,82199095,
651,82579250,
652,82960576,
653,83343074,
654,83726746,
655,84111594,
656,84497620,
657,84884826,
658,85273213,
659,85662783,
660,86053538,
661,86445480,
662,86838611,
663,87232932,
664,87628445,
665,88025152,
666,88423055,
667,88822156,
668,89222456,
669,89623957,
670,90026661,
671,90430570,
672,90835686,
673,91242010,
674,91649544,
675,92058290,
676,92468250,
677,92879426,
678,93291819,
679,93705431,
680,94120264,
681,94536320,
682,94953601,
683,95372108,
684,95791843,
685,96212808,
686,96635005,
687,97058436,
688,97483102,
689,97909005,
690,98336147,
691,98764530,
692,99194156,
693,99625026,
694,100057142,
695,100490506,
696,100925120,
697,101360986,
698,101798105,
699,102236479,
700,102676110,
701,103117000,
702,103559151,
703,104002564,
704,104447241,
705,104893184,
706,105340395,
707,105788876,
708,106238628,
709,106689653,
710,107141953,
711,107595530,
712,108050386,
713,108506522,
714,108963940,
715,109422642,
716,109882630,
717,110343906,
718,110806471,
719,111270327,
720,111735476,
721,112201920,
722,112669661,
723,113138700,
724,113609039,
725,114080680,
726,114553625,
727,115027876,
728,115503434,
729,115980301,
730,116458479,
731,116937970,
732,117418776,
733,117900898,
734,118384338,
735,118869098,
736,119355180,
737,119842586,
738,120331317,
739,120821375,
740,121312762,
741,121805480,
742,122299531,
743,122794916,
744,123291637,
745,123789696,
746,124289095,
747,124789836,
748,125291920,
749,125795349,
750,126300125,
751,126806250,
752,127313726,
753,127822554,
754,128332736,
755,128844274,
756,129357170,
757,129871426,
758,130387043,
759,130904023,
760,131422368,
761,131942080,
762,132463161,
763,132985612,
764,133509435,
765,134034632,
766,134561205,
767,135089156,
768,135618486,
769,136149197,
770,136681291,
771,137214770,
772,137749636,
773,138285890,
774,138823534,
775,139362570,
776,139903000,
777,140444826,
778,140988049,
779,141532671,
780,142078694,
781,142626120,
782,143174951,
783,143725188,
784,144276833,
785,144829888,
786,145384355,
787,145940236,
788,146497532,
789,147056245,
790,147616377,
791,148177930,
792,148740906,
793,149305306,
794,149871132,
795,150438386,
796,151007070,
797,151577186,
798,152148735,
799,152721719,
800,153296140,
801,153872000,
802,154449301,
803,155028044,
804,155608231,
805,156189864,
806,156772945,
807,157357476,
808,157943458,
809,158530893,
810,159119783,
811,159710130,
812,160301936,
813,160895202,
814,161489930,
815,162086122,
816,162683780,
817,163282906,
818,163883501,
819,164485567,
820,165089106,
821,165694120,
822,166300611,
823,166908580,
824,167518029,
825,168128960,
826,168741375,
827,169355276,
828,169970664,
829,170587541,
830,171205909,
831,171825770,
832,172447126,
833,173069978,
834,173694328,
835,174320178,
836,174947530,
837,175576386,
838,176206747,
839,176838615,
840,177471992,
841,178106880,
842,178743281,
843,179381196,
844,180020627,
845,180661576,
846,181304045,
847,181948036,
848,182593550,
849,183240589,
850,183889155,
851,184539250,
852,185190876,
853,185844034,
854,186498726,
855,187154954,
856,187812720,
857,188472026,
858,189132873,
859,189795263,
860,190459198,
861,191124680,
862,191791711,
863,192460292,
864,193130425,
865,193802112,
866,194475355,
867,195150156,
868,195826516,
869,196504437,
870,197183921,
871,197864970,
872,198547586,
873,199231770,
874,199917524,
875,200604850,
876,201293750,
877,201984226,
878,202676279,
879,203369911,
880,204065124,
881,204761920,
882,205460301,
883,206160268,
884,206861823,
885,207564968,
886,208269705,
887,208976036,
888,209683962,
889,210393485,
890,211104607,
891,211817330,
892,212531656,
893,213247586,
894,213965122,
895,214684266,
896,215405020,
897,216127386,
898,216851365,
899,217576959,
900,218304170,
901,219033000,
902,219763451,
903,220495524,
904,221229221,
905,221964544,
906,222701495,
907,223440076,
908,224180288,
909,224922133,
910,225665613,
911,226410730,
912,227157486,
913,227905882,
914,228655920,
915,229407602,
916,230160930,
917,230915906,
918,231672531,
919,232430807,
920,233190736,
921,233952320,
922,234715561,
923,235480460,
924,236247019,
925,237015240,
926,237785125,
927,238556676,
928,239329894,
929,240104781,
930,240881339,
931,241659570,
932,242439476,
933,243221058,
934,244004318,
935,244789258,
936,245575880,
937,246364186,
938,247154177,
939,247945855,
940,248739222,
941,249534280,
942,250331031,
943,251129476,
944,251929617,
945,252731456,
946,253534995,
947,254340236,
948,255147180,
949,255955829,
950,256766185,
951,257578250,
952,258392026,
953,259207514,
954,260024716,
955,260843634,
956,261664270,
957,262486626,
958,263310703,
959,264136503,
960,264964028,
961,265793280,
962,266624261,
963,267456972,
964,268291415,
965,269127592,
966,269965505,
967,270805156,
968,271646546,
969,272489677,
970,273334551,
971,274181170,
972,275029536,
973,275879650,
974,276731514,
975,277585130,
976,278440500,
977,279297626,
978,280156509,
979,281017151,
980,281879554,
981,282743720,
982,283609651,
983,284477348,
984,285346813,
985,286218048,
986,287091055,
987,287965836,
988,288842392,
989,289720725,
990,290600837,
991,291482730,
992,292366406,
993,293251866,
994,294139112,
995,295028146,
996,295918970,
997,296811586,
998,297705995,
999,298602199,
1000,299500200,
