id,kr,en,ch,tw,jp,ru,de,th,vi,ind,ms,fr,es,fa,ar
86,사용할 수 없는 이름입니다.,,,,,,,,,,,,,,
87,장착중,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
90,스킨 적용 안내,,,,,,,,,,,,,,
91,스킨 파츠의 스킨을 적용하시면 디노의 외형이 스킨 파츠로 변경됩니다.</br>그리고 적용할 스킨 파츠에 스킬이 있는 경우 디노의 스킬이 스킨 파츠 스킬로 변경됩니다.</br>스킨 파츠를 적용 하시겠습니까?,,,,,,,,,,,,,,
92,스킨 적용,,,,,,,,,,,,,,
93,스킨 해제 안내,,,,,,,,,,,,,,
94,스킨 파츠의 스킨을 해제하시면 디노의 외형과 해당 부위의 스킬이 원래대로 변경됩니다.</br>스킨 파츠의 스킨을 해제 하시겠습니까?,,,,,,,,,,,,,,
95,스킨 해제,,,,,,,,,,,,,,
96,스킬 변경 안내,,,,,,,,,,,,,,
97,스킨 파츠 적용으로 다음과 같이 스킬이 변경됩니다.,,,,,,,,,,,,,,
98,스킨 파츠 해제로 다음과 같이 스킬이 변경됩니다.,,,,,,,,,,,,,,
99,스킨 파츠 장착 안내,,,,,,,,,,,,,,
100,스킨 파츠를 장착하시면 스킨 파츠의 효과가 바로 적용 됩니다.,,,,,,,,,,,,,,
101,이미 스킨 파츠를 장착 중입니다.</br>선택하신 스킨 파츠로 교체하시면 파츠 효과가 변경 적용됩니다.,,,,,,,,,,,,,,
102,스킨 파츠를 장착 하시겠습니까?,,,,,,,,,,,,,,
103,스킨 파츠를 교체 하시겠습니까?,,,,,,,,,,,,,,
110,{0} 가 아직 오픈되지 않았습니다.,,,,,,,,,,,,,,
111,정보,,,,,,,,,,,,,,
112,스킬,,,,,,,,,,,,,,
113,룬,,,,,,,,,,,,,,
114,스킨 파츠,,,,,,,,,,,,,,
115,업그레이드,,,,,,,,,,,,,,
116,스킬 레벨업 안내,,,,,,,,,,,,,,
117,스킬을 레벨업 하시겠습니까?,,,,,,,,,,,,,,
118,전투 시작,,,,,,,,,,,,,,
119,팀 선택,,,,,,,,,,,,,,
120,보상 정보,,,,,,,,,,,,,,
121,출현하는 적,,,,,,,,,,,,,,
122,1,,,,,,,,,,,,,,
123,2,,,,,,,,,,,,,,
124,3,,,,,,,,,,,,,,
125,팀 효과,,,,,,,,,,,,,,
126,팀 편성,,,,,,,,,,,,,,
127,위치 효과,,,,,,,,,,,,,,
128,Normal,,,,,,,,,,,,,,
129,Hard,,,,,,,,,,,,,,
130,Hell,,,,,,,,,,,,,,
131,pos1,,,,,,,,,,,,,,
132,pos2,,,,,,,,,,,,,,
133,pos3,,,,,,,,,,,,,,
134,pos4,,,,,,,,,,,,,,
135,pos5,,,,,,,,,,,,,,
136,pos6,,,,,,,,,,,,,,
137,pos7,,,,,,,,,,,,,,
138,pos8,,,,,,,,,,,,,,
139,pos9,,,,,,,,,,,,,,
140,배치,,,,,,,,,,,,,,
141,해제,,,,,,,,,,,,,,
142,정보 보기,,,,,,,,,,,,,,
143,추천 조합,,,,,,,,,,,,,,
144,전체 해제,,,,,,,,,,,,,,
145,위치 설정,,,,,,,,,,,,,,
146,결정,,,,,,,,,,,,,,
147,초기화,,,,,,,,,,,,,,
148,초기화 비용,,,,,,,,,,,,,,
149,승리,,,,,,,,,,,,,,
150,패배,,,,,,,,,,,,,,
151,월드맵,,,,,,,,,,,,,,
152,로비 이동,,,,,,,,,,,,,,
153,전투 준비,,,,,,,,,,,,,,
154,다시하기,,,,,,,,,,,,,,
155,나가기,,,,,,,,,,,,,,
156,다음 스테이지,,,,,,,,,,,,,,
157,전투 기록,,,,,,,,,,,,,,
158,전체 공격량,,,,,,,,,,,,,,
159,받은 피해량,,,,,,,,,,,,,,
160,준 회복량,,,,,,,,,,,,,,
161,받은 회복량,,,,,,,,,,,,,,
162,WAVE,,,,,,,,,,,,,,
163,기절,,,,,,,,,,,,,,
164,빙결,,,,,,,,,,,,,,
165,석화,,,,,,,,,,,,,,
166,수면,,,,,,,,,,,,,,
167,출혈,,,,,,,,,,,,,,
168,중독,,,,,,,,,,,,,,
169,도발,,,,,,,,,,,,,,
170,혼란,,,,,,,,,,,,,,
171,매혹,,,,,,,,,,,,,,
172,속성 반전,,,,,,,,,,,,,,
173,속성 무시,,,,,,,,,,,,,,
174,실드,,,,,,,,,,,,,,
2000,오레우스,,,,,,,,,,,,,,
2001,워터루스,,,,,,,,,,,,,,
2002,두리우스,,,,,,,,,,,,,,
2003,코코우라,,,,,,,,,,,,,,
2004,베리우라,,,,,,,,,,,,,,
2005,멜로우라,,,,,,,,,,,,,,
2006,파이쿠스,,,,,,,,,,,,,,
2007,바나쿠스,,,,,,,,,,,,,,
2008,람쿠스,,,,,,,,,,,,,,
2009,피타드라고,,,,,,,,,,,,,,
2010,일반 디노 알,,,,,,,,,,,,,,
2011,레어 디노 알,,,,,,,,,,,,,,
2012,레전드 디노 알,,,,,,,,,,,,,,
2030,낮,,,,,,,,,,,,,,
2031,밤,,,,,,,,,,,,,,
2032,새벽,,,,,,,,,,,,,,
2033,일식,,,,,,,,,,,,,,
2040,방어형,,,,,,,,,,,,,,
2041,공격형,,,,,,,,,,,,,,
2042,지원형,,,,,,,,,,,,,,
2043,올라운더,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,
2060,날개 파츠는 전설 등급의 디노만 소유할 수 있습니다.,,,,,,,,,,,,,,
2061,,,,,,,,,,,,,,,
2070,경험의 정수 레벨 1,,,,,,,,,,,,,,
2071,경험의 정수 레벨 2,,,,,,,,,,,,,,
2072,경험의 정수 레벨 3,,,,,,,,,,,,,,
2073,경험의 정수 레벨 4,,,,,,,,,,,,,,
2074,경험의 정수 레벨 5,,,,,,,,,,,,,,
2075,경험의 정수 레벨 6,,,,,,,,,,,,,,
2080,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2081,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2082,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2083,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2084,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2085,디노의 경험치를 {0} 만큼 올려주는 신비한 정수,,,,,,,,,,,,,,
2090,경험의 정수 선택,,,,,,,,,,,,,,
2100,오렌지_머리_01 이름,,,,,,,,,,,,,,
2101,오렌지_머리_02 이름,,,,,,,,,,,,,,
2102,오렌지_머리_03 이름,,,,,,,,,,,,,,
2103,오렌지_머리_04 이름,,,,,,,,,,,,,,
2104,오렌지_눈_01 이름,,,,,,,,,,,,,,
2105,오렌지_눈_02 이름,,,,,,,,,,,,,,
2106,오렌지_눈_03 이름,,,,,,,,,,,,,,
2107,오렌지_눈_04 이름,,,,,,,,,,,,,,
2108,오렌지_입_01 이름,,,,,,,,,,,,,,
2109,오렌지_입_02 이름,,,,,,,,,,,,,,
2110,오렌지_입_03 이름,,,,,,,,,,,,,,
2111,오렌지_입_04 이름,,,,,,,,,,,,,,
2112,오렌지_등_01이름,,,,,,,,,,,,,,
2113,오렌지_등_02이름,,,,,,,,,,,,,,
2114,오렌지_등_03이름,,,,,,,,,,,,,,
2115,오렌지_등_04이름,,,,,,,,,,,,,,
2116,오렌지_꼬리_01 이름,,,,,,,,,,,,,,
2117,오렌지_꼬리_02 이름,,,,,,,,,,,,,,
2118,오렌지_꼬리_03 이름,,,,,,,,,,,,,,
2119,오렌지_꼬리_04 이름,,,,,,,,,,,,,,
2120,수박_머리_01 이름,,,,,,,,,,,,,,
2121,수박_머리_02 이름,,,,,,,,,,,,,,
2122,수박_머리_03 이름,,,,,,,,,,,,,,
2123,수박_머리_04 이름,,,,,,,,,,,,,,
2124,수박_눈_01 이름,,,,,,,,,,,,,,
2125,수박_눈_02 이름,,,,,,,,,,,,,,
2126,수박_눈_03 이름,,,,,,,,,,,,,,
2127,수박_눈_04 이름,,,,,,,,,,,,,,
2128,수박_입_01 이름,,,,,,,,,,,,,,
2129,수박_입_02 이름,,,,,,,,,,,,,,
2130,수박_입_03 이름,,,,,,,,,,,,,,
2131,수박_입_04 이름,,,,,,,,,,,,,,
2132,수박_등_01이름,,,,,,,,,,,,,,
2133,수박_등_02이름,,,,,,,,,,,,,,
2134,수박_등_03이름,,,,,,,,,,,,,,
2135,수박_등_04이름,,,,,,,,,,,,,,
2136,수박_꼬리_01 이름,,,,,,,,,,,,,,
2137,수박_꼬리_02 이름,,,,,,,,,,,,,,
2138,수박_꼬리_03 이름,,,,,,,,,,,,,,
2139,수박_꼬리_04 이름,,,,,,,,,,,,,,
2140,두리안_머리_01 이름,,,,,,,,,,,,,,
2141,두리안_머리_02 이름,,,,,,,,,,,,,,
2142,두리안_머리_03 이름,,,,,,,,,,,,,,
2143,두리안_머리_04 이름,,,,,,,,,,,,,,
2144,두리안_눈_01 이름,,,,,,,,,,,,,,
2145,두리안_눈_02 이름,,,,,,,,,,,,,,
2146,두리안_눈_03 이름,,,,,,,,,,,,,,
2147,두리안_눈_04 이름,,,,,,,,,,,,,,
2148,두리안_입_01 이름,,,,,,,,,,,,,,
2149,두리안_입_02 이름,,,,,,,,,,,,,,
2150,두리안_입_03 이름,,,,,,,,,,,,,,
2151,두리안_입_04 이름,,,,,,,,,,,,,,
2152,두리안_등_01이름,,,,,,,,,,,,,,
2153,두리안_등_02이름,,,,,,,,,,,,,,
2154,두리안_등_03이름,,,,,,,,,,,,,,
2155,두리안_등_04이름,,,,,,,,,,,,,,
2156,두리안_꼬리_01 이름,,,,,,,,,,,,,,
2157,두리안_꼬리_02 이름,,,,,,,,,,,,,,
2158,두리안_꼬리_03 이름,,,,,,,,,,,,,,
2159,두리안_꼬리_04 이름,,,,,,,,,,,,,,
2160,코코넛_머리_01 이름,,,,,,,,,,,,,,
2161,코코넛_머리_02 이름,,,,,,,,,,,,,,
2162,코코넛_머리_03 이름,,,,,,,,,,,,,,
2163,코코넛_머리_04 이름,,,,,,,,,,,,,,
2164,코코넛_눈_01 이름,,,,,,,,,,,,,,
2165,코코넛_눈_02 이름,,,,,,,,,,,,,,
2166,코코넛_눈_03 이름,,,,,,,,,,,,,,
2167,코코넛_눈_04 이름,,,,,,,,,,,,,,
2168,코코넛_입_01 이름,,,,,,,,,,,,,,
2169,코코넛_입_02 이름,,,,,,,,,,,,,,
2170,코코넛_입_03 이름,,,,,,,,,,,,,,
2171,코코넛_입_04 이름,,,,,,,,,,,,,,
2172,코코넛_등_01이름,,,,,,,,,,,,,,
2173,코코넛_등_02이름,,,,,,,,,,,,,,
2174,코코넛_등_03이름,,,,,,,,,,,,,,
2175,코코넛_등_04이름,,,,,,,,,,,,,,
2176,코코넛_꼬리_01 이름,,,,,,,,,,,,,,
2177,코코넛_꼬리_02 이름,,,,,,,,,,,,,,
2178,코코넛_꼬리_03 이름,,,,,,,,,,,,,,
2179,코코넛_꼬리_04 이름,,,,,,,,,,,,,,
2180,블루베리_머리_01 이름,,,,,,,,,,,,,,
2181,블루베리_머리_02 이름,,,,,,,,,,,,,,
2182,블루베리_머리_03 이름,,,,,,,,,,,,,,
2183,블루베리_머리_04 이름,,,,,,,,,,,,,,
2184,블루베리_눈_01 이름,,,,,,,,,,,,,,
2185,블루베리_눈_02 이름,,,,,,,,,,,,,,
2186,블루베리_눈_03 이름,,,,,,,,,,,,,,
2187,블루베리_눈_04 이름,,,,,,,,,,,,,,
2188,블루베리_입_01 이름,,,,,,,,,,,,,,
2189,블루베리_입_02 이름,,,,,,,,,,,,,,
2190,블루베리_입_03 이름,,,,,,,,,,,,,,
2191,블루베리_입_04 이름,,,,,,,,,,,,,,
2192,블루베리_등_01이름,,,,,,,,,,,,,,
2193,블루베리_등_02이름,,,,,,,,,,,,,,
2194,블루베리_등_03이름,,,,,,,,,,,,,,
2195,블루베리_등_04이름,,,,,,,,,,,,,,
2196,블루베리_꼬리_01 이름,,,,,,,,,,,,,,
2197,블루베리_꼬리_02 이름,,,,,,,,,,,,,,
2198,블루베리_꼬리_03 이름,,,,,,,,,,,,,,
2199,블루베리_꼬리_04 이름,,,,,,,,,,,,,,
2200,멜론_머리_01 이름,,,,,,,,,,,,,,
2201,멜론_머리_02 이름,,,,,,,,,,,,,,
2202,멜론_머리_03 이름,,,,,,,,,,,,,,
2203,멜론_머리_04 이름,,,,,,,,,,,,,,
2204,멜론_눈_01 이름,,,,,,,,,,,,,,
2205,멜론_눈_02 이름,,,,,,,,,,,,,,
2206,멜론_눈_03 이름,,,,,,,,,,,,,,
2207,멜론_눈_04 이름,,,,,,,,,,,,,,
2208,멜론_입_01 이름,,,,,,,,,,,,,,
2209,멜론_입_02 이름,,,,,,,,,,,,,,
2210,멜론_입_03 이름,,,,,,,,,,,,,,
2211,멜론_입_04 이름,,,,,,,,,,,,,,
2212,멜론_등_01이름,,,,,,,,,,,,,,
2213,멜론_등_02이름,,,,,,,,,,,,,,
2214,멜론_등_03이름,,,,,,,,,,,,,,
2215,멜론_등_04이름,,,,,,,,,,,,,,
2216,멜론_꼬리_01 이름,,,,,,,,,,,,,,
2217,멜론_꼬리_02 이름,,,,,,,,,,,,,,
2218,멜론_꼬리_03 이름,,,,,,,,,,,,,,
2219,멜론_꼬리_04 이름,,,,,,,,,,,,,,
2220,파인애플_머리_01 이름,,,,,,,,,,,,,,
2221,파인애플_머리_02 이름,,,,,,,,,,,,,,
2222,파인애플_머리_03 이름,,,,,,,,,,,,,,
2223,파인애플_머리_04 이름,,,,,,,,,,,,,,
2224,파인애플_눈_01 이름,,,,,,,,,,,,,,
2225,파인애플_눈_02 이름,,,,,,,,,,,,,,
2226,파인애플_눈_03 이름,,,,,,,,,,,,,,
2227,파인애플_눈_04 이름,,,,,,,,,,,,,,
2228,파인애플_입_01 이름,,,,,,,,,,,,,,
2229,파인애플_입_02 이름,,,,,,,,,,,,,,
2230,파인애플_입_03 이름,,,,,,,,,,,,,,
2231,파인애플_입_04 이름,,,,,,,,,,,,,,
2232,파인애플_등_01이름,,,,,,,,,,,,,,
2233,파인애플_등_02이름,,,,,,,,,,,,,,
2234,파인애플_등_03이름,,,,,,,,,,,,,,
2235,파인애플_등_04이름,,,,,,,,,,,,,,
2236,파인애플_꼬리_01 이름,,,,,,,,,,,,,,
2237,파인애플_꼬리_02 이름,,,,,,,,,,,,,,
2238,파인애플_꼬리_03 이름,,,,,,,,,,,,,,
2239,파인애플_꼬리_04 이름,,,,,,,,,,,,,,
2240,바나나_머리_01 이름,,,,,,,,,,,,,,
2241,바나나_머리_02 이름,,,,,,,,,,,,,,
2242,바나나_머리_03 이름,,,,,,,,,,,,,,
2243,바나나_머리_04 이름,,,,,,,,,,,,,,
2244,바나나_눈_01 이름,,,,,,,,,,,,,,
2245,바나나_눈_02 이름,,,,,,,,,,,,,,
2246,바나나_눈_03 이름,,,,,,,,,,,,,,
2247,바나나_눈_04 이름,,,,,,,,,,,,,,
2248,바나나_입_01 이름,,,,,,,,,,,,,,
2249,바나나_입_02 이름,,,,,,,,,,,,,,
2250,바나나_입_03 이름,,,,,,,,,,,,,,
2251,바나나_입_04 이름,,,,,,,,,,,,,,
2252,바나나_등_01이름,,,,,,,,,,,,,,
2253,바나나_등_02이름,,,,,,,,,,,,,,
2254,바나나_등_03이름,,,,,,,,,,,,,,
2255,바나나_등_04이름,,,,,,,,,,,,,,
2256,바나나_꼬리_01 이름,,,,,,,,,,,,,,
2257,바나나_꼬리_02 이름,,,,,,,,,,,,,,
2258,바나나_꼬리_03 이름,,,,,,,,,,,,,,
2259,바나나_꼬리_04 이름,,,,,,,,,,,,,,
2260,람부탄_머리_01 이름,,,,,,,,,,,,,,
2261,람부탄_머리_02 이름,,,,,,,,,,,,,,
2262,람부탄_머리_03 이름,,,,,,,,,,,,,,
2263,람부탄_머리_04 이름,,,,,,,,,,,,,,
2264,람부탄_눈_01 이름,,,,,,,,,,,,,,
2265,람부탄_눈_02 이름,,,,,,,,,,,,,,
2266,람부탄_눈_03 이름,,,,,,,,,,,,,,
2267,람부탄_눈_04 이름,,,,,,,,,,,,,,
2268,람부탄_입_01 이름,,,,,,,,,,,,,,
2269,람부탄_입_02 이름,,,,,,,,,,,,,,
2270,람부탄_입_03 이름,,,,,,,,,,,,,,
2271,람부탄_입_04 이름,,,,,,,,,,,,,,
2272,람부탄_등_01이름,,,,,,,,,,,,,,
2273,람부탄_등_02이름,,,,,,,,,,,,,,
2274,람부탄_등_03이름,,,,,,,,,,,,,,
2275,람부탄_등_04이름,,,,,,,,,,,,,,
2276,람부탄_꼬리_01 이름,,,,,,,,,,,,,,
2277,람부탄_꼬리_02 이름,,,,,,,,,,,,,,
2278,람부탄_꼬리_03 이름,,,,,,,,,,,,,,
2279,람부탄_꼬리_04 이름,,,,,,,,,,,,,,
2280,용과_머리_01 이름,,,,,,,,,,,,,,
2281,용과_눈_01 이름,,,,,,,,,,,,,,
2282,용과_입_01 이름,,,,,,,,,,,,,,
2283,용과_등_01이름,,,,,,,,,,,,,,
2284,용과_꼬리_01 이름,,,,,,,,,,,,,,
2285,용과_날개_01 이름,,,,,,,,,,,,,,
2286,와일드 디노_상어_머리 이름,,,,,,,,,,,,,,
2287,와일드 디노_상어_눈 이름,,,,,,,,,,,,,,
2288,와일드_디노_상어_입 이름,,,,,,,,,,,,,,
2289,와일드_디노_상어_등 이름,,,,,,,,,,,,,,
2290,와일드_디노_상어_꼬리 이름,,,,,,,,,,,,,,
2291,,,,,,,,,,,,,,,
3000,크롤리스,,,,,,,,,,,,,,
3001,태초의 숲,,,,,,,,,,,,,,
3002,코코 해변,,,,,,,,,,,,,,
3003,반짝이는 숲,,,,,,,,,,,,,,
3004,쿠루루 신전,,,,,,,,,,,,,,
3005,설산,,,,,,,,,,,,,,
3006,거인의 무덤,,,,,,,,,,,,,,
3007,뱀굴,,,,,,,,,,,,,,
3008,칠리치노,,,,,,,,,,,,,,
3009,미들 크롤리스,,,,,,,,,,,,,,
3020,1,,,,,,,,,,,,,,
3021,2,,,,,,,,,,,,,,
3022,3,,,,,,,,,,,,,,
3023,4,,,,,,,,,,,,,,
3024,5,,,,,,,,,,,,,,
3025,6,,,,,,,,,,,,,,
3026,7,,,,,,,,,,,,,,
3027,8,,,,,,,,,,,,,,
3028,9,,,,,,,,,,,,,,
3029,10,,,,,,,,,,,,,,
3030,11,,,,,,,,,,,,,,
3031,12,,,,,,,,,,,,,,
3032,13,,,,,,,,,,,,,,
3033,14,,,,,,,,,,,,,,
3034,15,,,,,,,,,,,,,,
3035,16,,,,,,,,,,,,,,
3036,17,,,,,,,,,,,,,,
3040,18,,,,,,,,,,,,,,
3041,19,,,,,,,,,,,,,,
3042,20,,,,,,,,,,,,,,
3043,21,,,,,,,,,,,,,,
3044,22,,,,,,,,,,,,,,
3045,23,,,,,,,,,,,,,,
3046,24,,,,,,,,,,,,,,
3047,25,,,,,,,,,,,,,,
3500,{0}월드의 모든 지역을 클리어 해야 입장할 수 있습니다.,,,,,,,,,,,,,,
3501,{0} 노멀 난이도를 모두 클리어 해야 입장할 수 있습니다.,,,,,,,,,,,,,,
3502,{0} {1} - {2} {3} 난이도를 모두 클리어 해야 입장할 수 있습니다.,,,,,,,,,,,,,,
4000,일반공격,,,,,,,,,,,,,,
4001,시큼한 검기,,,,,,,,,,,,,,
4002,반달 베기,,,,,,,,,,,,,,
4003,보이지 않는 타격,,,,,,,,,,,,,,
4004,쿨타임 보충,,,,,,,,,,,,,,
4005,서늘한 감각,,,,,,,,,,,,,,
4006,초고속 꼬리,,,,,,,,,,,,,,
4007,회오리 돌진,,,,,,,,,,,,,,
4008,치명적 꽁지,,,,,,,,,,,,,,
4009,날카로운 집념,,,,,,,,,,,,,,
4010,복수 다짐,,,,,,,,,,,,,,
4011,오렌지의 유혹,,,,,,,,,,,,,,
4012,매서운 녀석들,,,,,,,,,,,,,,
4013,왕수박 던지기,,,,,,,,,,,,,,
4014,씨앗 따발총,,,,,,,,,,,,,,
4015,달콤한 추억,,,,,,,,,,,,,,
4016,굳건한 마음,,,,,,,,,,,,,,
4017,꽁지 점프,,,,,,,,,,,,,,
4018,먹고 힘내!,,,,,,,,,,,,,,
4019,살랑이는 꼬리,,,,,,,,,,,,,,
4020,각성 꽁지,,,,,,,,,,,,,,
4021,호전적인 마음,,,,,,,,,,,,,,
4022,마지막 잎새,,,,,,,,,,,,,,
4023,단단 등껍질,,,,,,,,,,,,,,
4024,않는 마음,,,,,,,,,,,,,,
4025,1,,,,,,,,,,,,,,
4026,2,,,,,,,,,,,,,,
4027,3,,,,,,,,,,,,,,
4028,4,,,,,,,,,,,,,,
4029,5,,,,,,,,,,,,,,
4030,6,,,,,,,,,,,,,,
4031,7,,,,,,,,,,,,,,
4032,8,,,,,,,,,,,,,,
4033,9,,,,,,,,,,,,,,
4034,0,,,,,,,,,,,,,,
4035,11,,,,,,,,,,,,,,
4036,11,,,,,,,,,,,,,,
4037,코코넛 소환술,,,,,,,,,,,,,,
4038,나머지 반쪽,,,,,,,,,,,,,,
4039,단단한 껍질,,,,,,,,,,,,,,
4040,나만 바라봐!,,,,,,,,,,,,,,
4041,맛있는 야자,,,,,,,,,,,,,,
4042,랜덤 야자 미사일,,,,,,,,,,,,,,
4043,실드 공격,,,,,,,,,,,,,,
4044,열매 지진,,,,,,,,,,,,,,
4045,든든한 시작,,,,,,,,,,,,,,
4046,용감한 외침,,,,,,,,,,,,,,
4047,죽지 않아!,,,,,,,,,,,,,,
4048,딴딴한 피부,,,,,,,,,,,,,,
4049,아무나 맞아라!,,,,,,,,,,,,,,
4050,백샷,,,,,,,,,,,,,,
4051,베리 따발총,,,,,,,,,,,,,,
4052,차가운 폭탄,,,,,,,,,,,,,,
4053,가로로 발사!,,,,,,,,,,,,,,
4054,최후의 만찬,,,,,,,,,,,,,,
4055,가드 파괴,,,,,,,,,,,,,,
4056,베리 날아간다!,,,,,,,,,,,,,,
4057,차가운 다짐,,,,,,,,,,,,,,
4058,저격 감각,,,,,,,,,,,,,,
4059,극단적 공격,,,,,,,,,,,,,,
4060,서린 감각,,,,,,,,,,,,,,
4061,기습 돌격,,,,,,,,,,,,,,
4062,일시적 봉인 주문,,,,,,,,,,,,,,
4063,약화 주문,,,,,,,,,,,,,,
4064,꽈당 넘어져라!,,,,,,,,,,,,,,
4065,콕 찌르기,,,,,,,,,,,,,,
4066,약골 주문,,,,,,,,,,,,,,
4067,공격 약화 주문,,,,,,,,,,,,,,
4068,꼬리치기,,,,,,,,,,,,,,
4069,면역 약화,,,,,,,,,,,,,,
4070,불운한 기운,,,,,,,,,,,,,,
4071,디버프 회복,,,,,,,,,,,,,,
4072,노멀의 위대함,,,,,,,,,,,,,,
4500,자신의 공격력의 {3}%로 대상을 공격합니다. 만약 버스트 콤보가 발생하고 첫번째 순서일 경우 치명타가 발생합니다.,,,,,,,,,,,,,,
4501,자신의 공격력의 {3}%로 대상을 공격합니다. 만약 버스트 콤보가 발생하고 첫번째 순서일 경우 {8}턴동안 행운을 {7}만큼 증가시킵니다.,,,,,,,,,,,,,,
4502,자신의 공격력의 {3}%로 대상을 공격합니다. 만약 버스트 콤보가 발생하고 첫번째 순서일 경우 {5}% 확률로 {8}턴간 출혈상태로 만듭니다.,,,,,,,,,,,,,,
4503,검기를 날려 전방의 가로일렬에 위치한 모든 적에게 공격력의 {3}%의 피해를 주며 {5}% 확률로 대상을 {8}턴간 출혈 상태로 만듭니다.,,,,,,,,,,,,,,
4504,단일 적에게 반달 뿔의 검기를 날려 공격력의 {3}%의 피해를 주고 치명타가 발생할 경우 {5}% 확률로 공격력 {7}%의 피해를 주는 검기를 한번 더 날립니다. ,,,,,,,,,,,,,,
4505,단일 적에게 물어뜯기 공격으로 공격력의 {3}%의 피해를 입힙니다. 공격후 {5}% 확률로 {8}턴간 은신상태가 됩니다.,,,,,,,,,,,,,,
4506,높이 점프하여 타겟을 강력하게 들이받아 공격력의 {3}%의 피해를 줍니다. 대상이 스킬을 사용할 예정이라면 {5}% 확률로 자신의 액티브 스킬 중 하나의 쿨타임을 초기화합니다. ,,,,,,,,,,,,,,
