idx,talent,wing,state,res_ani
10,3,1,skill_run2,om_ani_run_wing
101,1,0,cc_stun,ca_ani_cc_stun
101,1,1,cc_stun,ca_ani_cc_stun
101,2,0,cc_stun,he_ani_cc_stun
101,2,1,cc_stun,he_ani_cc_stun
101,3,0,cc_stun,om_ani_cc_stun
101,3,1,cc_stun,om_ani_cc_stun
102,1,0,cc_freeze,ca_ani_cc_stun
102,1,1,cc_freeze,ca_ani_cc_stun
102,2,0,cc_freeze,he_ani_cc_stun
102,2,1,cc_freeze,he_ani_cc_stun
102,3,0,cc_freeze,om_ani_cc_stun
102,3,1,cc_freeze,om_ani_cc_stun
103,1,0,cc_sleep,ca_ani_cc_stun
103,1,1,cc_sleep,ca_ani_cc_stun
103,2,0,cc_sleep,he_ani_cc_stun
103,2,1,cc_sleep,he_ani_cc_stun
103,3,0,cc_sleep,om_ani_cc_stun
103,3,1,cc_sleep,om_ani_cc_stun
104,1,0,cc_injury,ca_ani_cc_stun
104,1,1,cc_injury,ca_ani_cc_stun
104,2,0,cc_injury,he_ani_cc_stun
104,2,1,cc_injury,he_ani_cc_stun
104,3,0,cc_injury,om_ani_cc_stun
104,3,1,cc_injury,om_ani_cc_stun
105,1,0,cc_confusion,ca_ani_cc_stun
105,1,1,cc_confusion,ca_ani_cc_stun
105,2,0,cc_confusion,he_ani_cc_stun
105,2,1,cc_confusion,he_ani_cc_stun
105,3,0,cc_confusion,om_ani_cc_stun
105,3,1,cc_confusion,om_ani_cc_stun
201,1,0,emotion1,ca_ani_hit
201,1,1,emotion1,ca_ani_hit_wing
201,2,0,emotion1,he_ani_hit
201,2,1,emotion1,he_ani_hit_wing
201,3,0,emotion1,om_ani_hit
201,3,1,emotion1,om_ani_hit_wing
202,1,0,emotion2,ca_ani_hit
202,1,1,emotion2,ca_ani_hit_wing
202,2,0,emotion2,he_ani_hit
202,2,1,emotion2,he_ani_hit_wing
202,3,0,emotion2,om_ani_hit
202,3,1,emotion2,om_ani_hit_wing
203,1,0,emotion3,ca_ani_hit
203,1,1,emotion3,ca_ani_hit_wing
203,2,0,emotion3,he_ani_hit
203,2,1,emotion3,he_ani_hit_wing
203,3,0,emotion3,om_ani_hit
203,3,1,emotion3,om_ani_hit_wing
204,1,0,emotion4,ca_ani_hit
204,1,1,emotion4,ca_ani_hit_wing
204,2,0,emotion4,he_ani_hit
204,2,1,emotion4,he_ani_hit_wing
204,3,0,emotion4,om_ani_hit
204,3,1,emotion4,om_ani_hit_wing
501,1,0,skill1,pirate_attack1
501,2,0,skill1,pirate_attack1
501,3,0,skill1,pirate_attack1
502,1,0,skill2,pirate_attack1
502,2,0,skill2,pirate_attack1
502,3,0,skill2,pirate_attack1
503,1,0,skill1,pirate_elite_attack1
503,2,0,skill1,pirate_elite_attack1
503,3,0,skill1,pirate_elite_attack1
504,1,0,skill2,pirate_elite_attack2
504,2,0,skill2,pirate_elite_attack2
504,3,0,skill2,pirate_elite_attack2
1001,1,0,skill1,ca_orange_Headbutt
1001,1,1,skill1,ca_orange_Headbutt
1001,2,0,skill1,he_orange_Headbutt
1001,2,1,skill1,he_orange_Headbutt
1001,3,0,skill1,om_orange_Headbutt
1001,3,1,skill1,om_orange_Headbutt
1002,1,0,skill1,ca_orange_moon_sword
1002,1,1,skill1,ca_orange_moon_sword
1002,2,0,skill1,he_orange_moon_sword
1002,2,1,skill1,he_orange_moon_sword
1002,3,0,skill1,om_orange_moon_sword
1002,3,1,skill1,om_orange_moon_sword
1003,1,0,skill1,ca_orange_rolling_attack
1003,1,1,skill1,ca_orange_rolling_attack
1003,2,0,skill1,he_orange_rolling_attack
1003,2,1,skill1,he_orange_rolling_attack
1003,3,0,skill1,om_orange_rolling_attack
1003,3,1,skill1,om_orange_rolling_attack
1004,1,0,skill1,ca_ani_attack1
1004,1,1,skill1,ca_ani_attack1
1004,2,0,skill1,he_ani_attack1
1004,2,1,skill1,he_ani_attack1
1004,3,0,skill1,om_ani_attack1
1004,3,1,skill1,om_ani_attack1
1005,1,0,skill1,ca_watermelon_Headbutt_rolling
1005,1,1,skill1,ca_watermelon_Headbutt_rolling
1005,2,0,skill1,he_watermelon_Headbutt_rolling
1005,2,1,skill1,he_watermelon_Headbutt_rolling
1005,3,0,skill1,om_watermelon_Headbutt_rolling
1005,3,1,skill1,om_watermelon_Headbutt_rolling
1006,1,0,skill1,ca_watermelon_seed_gun
1006,1,1,skill1,ca_watermelon_seed_gun
1006,2,0,skill1,he_watermelon_seed_gun
1006,2,1,skill1,he_watermelon_seed_gun
1006,3,0,skill1,om_watermelon_seed_gun
1006,3,1,skill1,om_watermelon_seed_gun
1007,1,0,skill1,ca_watermelon_seed_turn
1007,1,1,skill1,ca_watermelon_seed_turn
1007,2,0,skill1,he_watermelon_seed_turn
1007,2,1,skill1,he_watermelon_seed_turn
1007,3,0,skill1,om_watermelon_seed_turn
1007,3,1,skill1,om_watermelon_seed_turn
1008,1,0,skill1,ca_ani_attack1
1008,1,1,skill1,ca_ani_attack1
1008,2,0,skill1,he_ani_attack1
1008,2,1,skill1,he_ani_attack1
1008,3,0,skill1,om_ani_attack1
1008,3,1,skill1,om_ani_attack1
1009,1,0,skill1,ca_ani_attack1
1009,1,1,skill1,ca_ani_attack1
1009,2,0,skill1,he_ani_attack1
1009,2,1,skill1,he_ani_attack1
1009,3,0,skill1,om_ani_attack1
1009,3,1,skill1,om_ani_attack1
1010,1,0,skill1,ca_ani_attack1
1010,1,1,skill1,ca_ani_attack1
1010,2,0,skill1,he_ani_attack1
1010,2,1,skill1,he_ani_attack1
1010,3,0,skill1,om_ani_attack1
1010,3,1,skill1,om_ani_attack1
1011,1,0,skill1,ca_ani_attack1
1011,1,1,skill1,ca_ani_attack1
1011,2,0,skill1,he_ani_attack1
1011,2,1,skill1,he_ani_attack1
1011,3,0,skill1,om_ani_attack1
1011,3,1,skill1,om_ani_attack1
1012,1,0,skill1,ca_ani_attack1
1012,1,1,skill1,ca_ani_attack1
1012,2,0,skill1,he_ani_attack1
1012,2,1,skill1,he_ani_attack1
1012,3,0,skill1,om_ani_attack1
1012,3,1,skill1,om_ani_attack1
1013,1,0,skill1,ca_coconut_barrier01
1013,1,1,skill1,ca_coconut_barrier01
1013,2,0,skill1,he_coconut_barrier01
1013,2,1,skill1,he_coconut_barrier01
1013,3,0,skill1,om_coconut_barrier01
1013,3,1,skill1,om_coconut_barrier01
1014,1,0,skill1,ca_orange_Headbutt
1014,1,1,skill1,ca_orange_Headbutt
1014,2,0,skill1,he_orange_Headbutt
1014,2,1,skill1,he_orange_Headbutt
1014,3,0,skill1,om_orange_Headbutt
1014,3,1,skill1,om_orange_Headbutt
1015,1,0,skill1,ca_ani_attack1
1015,1,1,skill1,ca_ani_attack1
1015,2,0,skill1,he_ani_attack1
1015,2,1,skill1,he_ani_attack1
1015,3,0,skill1,om_ani_attack1
1015,3,1,skill1,om_ani_attack1
1016,1,0,skill1,ca_ani_attack1
1016,1,1,skill1,ca_ani_attack1
1016,2,0,skill1,he_ani_attack1
1016,2,1,skill1,he_ani_attack1
1016,3,0,skill1,om_ani_attack1
1016,3,1,skill1,om_ani_attack1
1017,1,0,skill1,ca_blueberry_berry_gun
1017,1,1,skill1,ca_blueberry_berry_gun
1017,2,0,skill1,he_blueberry_berry_gun
1017,2,1,skill1,he_blueberry_berry_gun
1017,3,0,skill1,om_blueberry_berry_gun
1017,3,1,skill1,om_blueberry_berry_gun
1018,1,0,skill1,ca_blueberry_bubble_shotgun
1018,1,1,skill1,ca_blueberry_bubble_shotgun
1018,2,0,skill1,he_blueberry_bubble_shotgun
1018,2,1,skill1,he_blueberry_bubble_shotgun
1018,3,0,skill1,om_blueberry_bubble_shotgun
1018,3,1,skill1,om_blueberry_bubble_shotgun
1019,1,0,skill1,ca_blueberry_parabola_shot
1019,1,1,skill1,ca_blueberry_parabola_shot
1019,2,0,skill1,he_blueberry_parabola_shot
1019,2,1,skill1,he_blueberry_parabola_shot
1019,3,0,skill1,om_blueberry_parabola_shot
1019,3,1,skill1,om_blueberry_parabola_shot
1020,1,0,skill1,ca_ani_attack1
1020,1,1,skill1,ca_ani_attack1
1020,2,0,skill1,he_ani_attack1
1020,2,1,skill1,he_ani_attack1
1020,3,0,skill1,om_ani_attack1
1020,3,1,skill1,om_ani_attack1
1021,1,0,skill1,ca_ani_attack1
1021,1,1,skill1,ca_ani_attack1
1021,2,0,skill1,he_ani_attack1
1021,2,1,skill1,he_ani_attack1
1021,3,0,skill1,om_ani_attack1
1021,3,1,skill1,om_ani_attack1
1022,1,0,skill1,ca_ani_attack1
1022,1,1,skill1,ca_ani_attack1
1022,2,0,skill1,he_ani_attack1
1022,2,1,skill1,he_ani_attack1
1022,3,0,skill1,om_ani_attack1
1022,3,1,skill1,om_ani_attack1
1023,1,0,skill1,ca_ani_attack1
1023,1,1,skill1,ca_ani_attack1
1023,2,0,skill1,he_ani_attack1
1023,2,1,skill1,he_ani_attack1
1023,3,0,skill1,om_ani_attack1
1023,3,1,skill1,om_ani_attack1
1024,1,0,skill1,ca_ani_attack1
1024,1,1,skill1,ca_ani_attack1
1024,2,0,skill1,he_ani_attack1
1024,2,1,skill1,he_ani_attack1
1024,3,0,skill1,om_ani_attack1
1024,3,1,skill1,om_ani_attack1
1025,1,0,skill1,ca_ani_attack1
1025,1,1,skill1,ca_ani_attack1
1025,2,0,skill1,he_ani_attack1
1025,2,1,skill1,he_ani_attack1
1025,3,0,skill1,om_ani_attack1
1025,3,1,skill1,om_ani_attack1
1026,1,0,skill1,ca_ani_attack1
1026,1,1,skill1,ca_ani_attack1
1026,2,0,skill1,he_ani_attack1
1026,2,1,skill1,he_ani_attack1
1026,3,0,skill1,om_ani_attack1
1026,3,1,skill1,om_ani_attack1
1027,1,0,skill1,ca_ani_attack1
1027,1,1,skill1,ca_ani_attack1
1027,2,0,skill1,he_ani_attack1
1027,2,1,skill1,he_ani_attack1
1027,3,0,skill1,om_ani_attack1
1027,3,1,skill1,om_ani_attack1
1028,1,0,skill1,ca_ani_attack1
1028,1,1,skill1,ca_ani_attack1
1028,2,0,skill1,he_ani_attack1
1028,2,1,skill1,he_ani_attack1
1028,3,0,skill1,om_ani_attack1
1028,3,1,skill1,om_ani_attack1
1029,1,0,skill1,ca_ani_attack1
1029,1,1,skill1,ca_ani_attack1
1029,2,0,skill1,he_ani_attack1
1029,2,1,skill1,he_ani_attack1
1029,3,0,skill1,om_ani_attack1
1029,3,1,skill1,om_ani_attack1
1030,1,0,skill1,ca_ani_attack1
1030,1,1,skill1,ca_ani_attack1
1030,2,0,skill1,he_ani_attack1
1030,2,1,skill1,he_ani_attack1
1030,3,0,skill1,om_ani_attack1
1030,3,1,skill1,om_ani_attack1
1031,1,0,skill1,ca_ani_attack1
1031,1,1,skill1,ca_ani_attack1
1031,2,0,skill1,he_ani_attack1
1031,2,1,skill1,he_ani_attack1
1031,3,0,skill1,om_ani_attack1
1031,3,1,skill1,om_ani_attack1
1032,1,0,skill1,ca_ani_attack1
1032,1,1,skill1,ca_ani_attack1
1032,2,0,skill1,he_ani_attack1
1032,2,1,skill1,he_ani_attack1
1032,3,0,skill1,om_ani_attack1
1032,3,1,skill1,om_ani_attack1
1033,1,0,skill1,ca_ani_attack1
1033,1,1,skill1,ca_ani_attack1
1033,2,0,skill1,he_ani_attack1
1033,2,1,skill1,he_ani_attack1
1033,3,0,skill1,om_ani_attack1
1033,3,1,skill1,om_ani_attack1
1034,1,0,skill1,ca_ani_attack1
1034,1,1,skill1,ca_ani_attack1
1034,2,0,skill1,he_ani_attack1
1034,2,1,skill1,he_ani_attack1
1034,3,0,skill1,om_ani_attack1
1034,3,1,skill1,om_ani_attack1
1035,1,0,skill1,ca_ani_attack1
1035,1,1,skill1,ca_ani_attack1
1035,2,0,skill1,he_ani_attack1
1035,2,1,skill1,he_ani_attack1
1035,3,0,skill1,om_ani_attack1
1035,3,1,skill1,om_ani_attack1
1036,1,0,skill1,ca_ani_attack1
1036,1,1,skill1,ca_ani_attack1
1036,2,0,skill1,he_ani_attack1
1036,2,1,skill1,he_ani_attack1
1036,3,0,skill1,om_ani_attack1
1036,3,1,skill1,om_ani_attack1
1037,1,0,skill1,ca_dragonfruit_fly_air_breath
1037,1,1,skill1,ca_dragonfruit_fly_air_breath
1037,2,0,skill1,he_dragonfruit_fly_air_breath
1037,2,1,skill1,he_dragonfruit_fly_air_breath
1037,3,0,skill1,om_dragonfruit_fly_air_breath
1037,3,1,skill1,om_dragonfruit_fly_air_breath
1038,1,0,skill1,ca_dragonfruit_fly_tumbleing_breath
1038,1,1,skill1,ca_dragonfruit_fly_tumbleing_breath
1038,2,0,skill1,he_dragonfruit_fly_tumbleing_breath
1038,2,1,skill1,he_dragonfruit_fly_tumbleing_breath
1038,3,0,skill1,om_dragonfruit_fly_tumbleing_breath
1038,3,1,skill1,om_dragonfruit_fly_tumbleing_breath
1039,1,0,skill1,ca_ani_attack1
1039,1,1,skill1,ca_ani_attack1
1039,2,0,skill1,he_ani_attack1
1039,2,1,skill1,he_ani_attack1
1039,3,0,skill1,om_ani_attack1
1039,3,1,skill1,om_ani_attack1
1040,1,0,skill1,ca_ani_attack1
1040,1,1,skill1,ca_ani_attack1
1040,2,0,skill1,he_ani_attack1
1040,2,1,skill1,he_ani_attack1
1040,3,0,skill1,om_ani_attack1
1040,3,1,skill1,om_ani_attack1
1101,1,0,skill2,ca_orange_buff01
1101,1,1,skill2,ca_orange_buff01
1101,2,0,skill2,he_orange_buff01
1101,2,1,skill2,he_orange_buff01
1101,3,0,skill2,om_orange_buff01
1101,3,1,skill2,om_orange_buff01
1102,1,0,skill2,ca_orange_tail_drill
1102,1,1,skill2,ca_orange_tail_drill
1102,2,0,skill2,he_orange_tail_drill
1102,2,1,skill2,he_orange_tail_drill
1102,3,0,skill2,om_orange_tail_drill
1102,3,1,skill2,om_orange_tail_drill
1103,1,0,skill2,ca_orange_tail_knife
1103,1,1,skill2,ca_orange_tail_knife
1103,2,0,skill2,he_orange_tail_knife
1103,2,1,skill2,he_orange_tail_knife
1103,3,0,skill2,om_orange_tail_knife
1103,3,1,skill2,om_orange_tail_knife
1104,1,0,skill2,ca_ani_attack1
1104,1,1,skill2,ca_ani_attack1
1104,2,0,skill2,he_ani_attack1
1104,2,1,skill2,he_ani_attack1
1104,3,0,skill2,om_ani_attack1
1104,3,1,skill2,om_ani_attack1
1105,1,0,skill2,ca_orange_buff01
1105,1,1,skill2,ca_orange_buff01
1105,2,0,skill2,he_orange_buff01
1105,2,1,skill2,he_orange_buff01
1105,3,0,skill2,om_orange_buff01
1105,3,1,skill2,om_orange_buff01
1106,1,0,skill2,ca_ani_attack1
1106,1,1,skill2,ca_ani_attack1
1106,2,0,skill2,he_ani_attack1
1106,2,1,skill2,he_ani_attack1
1106,3,0,skill2,om_ani_attack1
1106,3,1,skill2,om_ani_attack1
1107,1,0,skill2,ca_watermelon_jump_attack
1107,1,1,skill2,ca_watermelon_jump_attack
1107,2,0,skill2,he_watermelon_jump_attack
1107,2,1,skill2,he_watermelon_jump_attack
1107,3,0,skill2,om_watermelon_jump_attack
1107,3,1,skill2,om_watermelon_jump_attack
1108,1,0,skill2,ca_ani_attack1
1108,1,1,skill2,ca_ani_attack1
1108,2,0,skill2,he_ani_attack1
1108,2,1,skill2,he_ani_attack1
1108,3,0,skill2,om_ani_attack1
1108,3,1,skill2,om_ani_attack1
1109,1,0,skill2,ca_ani_attack1
1109,1,1,skill2,ca_ani_attack1
1109,2,0,skill2,he_ani_attack1
1109,2,1,skill2,he_ani_attack1
1109,3,0,skill2,om_ani_attack1
1109,3,1,skill2,om_ani_attack1
1110,1,0,skill2,ca_ani_attack1
1110,1,1,skill2,ca_ani_attack1
1110,2,0,skill2,he_ani_attack1
1110,2,1,skill2,he_ani_attack1
1110,3,0,skill2,om_ani_attack1
1110,3,1,skill2,om_ani_attack1
1111,1,0,skill2,ca_ani_attack1
1111,1,1,skill2,ca_ani_attack1
1111,2,0,skill2,he_ani_attack1
1111,2,1,skill2,he_ani_attack1
1111,3,0,skill2,om_ani_attack1
1111,3,1,skill2,om_ani_attack1
1112,1,0,skill2,ca_ani_attack1
1112,1,1,skill2,ca_ani_attack1
1112,2,0,skill2,he_ani_attack1
1112,2,1,skill2,he_ani_attack1
1112,3,0,skill2,om_ani_attack1
1112,3,1,skill2,om_ani_attack1
1113,1,0,skill2,ca_watermelon_jump_attack
1113,1,1,skill2,ca_watermelon_jump_attack
1113,2,0,skill2,he_watermelon_jump_attack
1113,2,1,skill2,he_watermelon_jump_attack
1113,3,0,skill2,om_watermelon_jump_attack
1113,3,1,skill2,om_watermelon_jump_attack
1114,1,0,skill2,ca_coconut_stomp
1114,1,1,skill2,ca_coconut_stomp
1114,2,0,skill2,he_coconut_stomp
1114,2,1,skill2,he_coconut_stomp
1114,3,0,skill2,om_coconut_stomp
1114,3,1,skill2,om_coconut_stomp
1115,1,0,skill2,ca_coconut_tail_shot
1115,1,1,skill2,ca_coconut_tail_shot
1115,2,0,skill2,he_coconut_tail_shot
1115,2,1,skill2,he_coconut_tail_shot
1115,3,0,skill2,om_coconut_tail_shot
1115,3,1,skill2,om_coconut_tail_shot
1116,1,0,skill2,ca_ani_attack1
1116,1,1,skill2,ca_ani_attack1
1116,2,0,skill2,he_ani_attack1
1116,2,1,skill2,he_ani_attack1
1116,3,0,skill2,om_ani_attack1
1116,3,1,skill2,om_ani_attack1
1117,1,0,skill2,ca_watermelon_jump_attack
1117,1,1,skill2,ca_watermelon_jump_attack
1117,2,0,skill2,he_watermelon_jump_attack
1117,2,1,skill2,he_watermelon_jump_attack
1117,3,0,skill2,om_watermelon_jump_attack
1117,3,1,skill2,om_watermelon_jump_attack
1118,1,0,skill2,ca_blueberry_tumbling_shot
1118,1,1,skill2,ca_blueberry_tumbling_shot
1118,2,0,skill2,he_blueberry_tumbling_shot
1118,2,1,skill2,he_blueberry_tumbling_shot
1118,3,0,skill2,om_blueberry_tumbling_shot
1118,3,1,skill2,om_blueberry_tumbling_shot
1119,1,0,skill2,ca_ani_attack1
1119,1,1,skill2,ca_ani_attack1
1119,2,0,skill2,he_ani_attack1
1119,2,1,skill2,he_ani_attack1
1119,3,0,skill2,om_ani_attack1
1119,3,1,skill2,om_ani_attack1
1120,1,0,skill2,ca_ani_attack1
1120,1,1,skill2,ca_ani_attack1
1120,2,0,skill2,he_ani_attack1
1120,2,1,skill2,he_ani_attack1
1120,3,0,skill2,om_ani_attack1
1120,3,1,skill2,om_ani_attack1
1121,1,0,skill2,ca_ani_attack1
1121,1,1,skill2,ca_ani_attack1
1121,2,0,skill2,he_ani_attack1
1121,2,1,skill2,he_ani_attack1
1121,3,0,skill2,om_ani_attack1
1121,3,1,skill2,om_ani_attack1
1122,1,0,skill2,ca_ani_attack1
1122,1,1,skill2,ca_ani_attack1
1122,2,0,skill2,he_ani_attack1
1122,2,1,skill2,he_ani_attack1
1122,3,0,skill2,om_ani_attack1
1122,3,1,skill2,om_ani_attack1
1123,1,0,skill2,ca_ani_attack1
1123,1,1,skill2,ca_ani_attack1
1123,2,0,skill2,he_ani_attack1
1123,2,1,skill2,he_ani_attack1
1123,3,0,skill2,om_ani_attack1
1123,3,1,skill2,om_ani_attack1
1124,1,0,skill2,ca_ani_attack1
1124,1,1,skill2,ca_ani_attack1
1124,2,0,skill2,he_ani_attack1
1124,2,1,skill2,he_ani_attack1
1124,3,0,skill2,om_ani_attack1
1124,3,1,skill2,om_ani_attack1
1125,1,0,skill2,ca_ani_attack1
1125,1,1,skill2,ca_ani_attack1
1125,2,0,skill2,he_ani_attack1
1125,2,1,skill2,he_ani_attack1
1125,3,0,skill2,om_ani_attack1
1125,3,1,skill2,om_ani_attack1
1126,1,0,skill2,ca_ani_attack1
1126,1,1,skill2,ca_ani_attack1
1126,2,0,skill2,he_ani_attack1
1126,2,1,skill2,he_ani_attack1
1126,3,0,skill2,om_ani_attack1
1126,3,1,skill2,om_ani_attack1
1127,1,0,skill2,ca_ani_attack1
1127,1,1,skill2,ca_ani_attack1
1127,2,0,skill2,he_ani_attack1
1127,2,1,skill2,he_ani_attack1
1127,3,0,skill2,om_ani_attack1
1127,3,1,skill2,om_ani_attack1
1128,1,0,skill2,ca_ani_attack1
1128,1,1,skill2,ca_ani_attack1
1128,2,0,skill2,he_ani_attack1
1128,2,1,skill2,he_ani_attack1
1128,3,0,skill2,om_ani_attack1
1128,3,1,skill2,om_ani_attack1
1129,1,0,skill2,ca_ani_attack1
1129,1,1,skill2,ca_ani_attack1
1129,2,0,skill2,he_ani_attack1
1129,2,1,skill2,he_ani_attack1
1129,3,0,skill2,om_ani_attack1
1129,3,1,skill2,om_ani_attack1
1130,1,0,skill2,ca_ani_attack1
1130,1,1,skill2,ca_ani_attack1
1130,2,0,skill2,he_ani_attack1
1130,2,1,skill2,he_ani_attack1
1130,3,0,skill2,om_ani_attack1
1130,3,1,skill2,om_ani_attack1
1131,1,0,skill2,ca_ani_attack1
1131,1,1,skill2,ca_ani_attack1
1131,2,0,skill2,he_ani_attack1
1131,2,1,skill2,he_ani_attack1
1131,3,0,skill2,om_ani_attack1
1131,3,1,skill2,om_ani_attack1
1132,1,0,skill2,ca_ani_attack1
1132,1,1,skill2,ca_ani_attack1
1132,2,0,skill2,he_ani_attack1
1132,2,1,skill2,he_ani_attack1
1132,3,0,skill2,om_ani_attack1
1132,3,1,skill2,om_ani_attack1
1133,1,0,skill2,ca_ani_attack1
1133,1,1,skill2,ca_ani_attack1
1133,2,0,skill2,he_ani_attack1
1133,2,1,skill2,he_ani_attack1
1133,3,0,skill2,om_ani_attack1
1133,3,1,skill2,om_ani_attack1
1134,1,0,skill2,ca_ani_attack1
1134,1,1,skill2,ca_ani_attack1
1134,2,0,skill2,he_ani_attack1
1134,2,1,skill2,he_ani_attack1
1134,3,0,skill2,om_ani_attack1
1134,3,1,skill2,om_ani_attack1
1135,1,0,skill2,ca_ani_attack1
1135,1,1,skill2,ca_ani_attack1
1135,2,0,skill2,he_ani_attack1
1135,2,1,skill2,he_ani_attack1
1135,3,0,skill2,om_ani_attack1
1135,3,1,skill2,om_ani_attack1
1136,1,0,skill2,ca_ani_attack1
1136,1,1,skill2,ca_ani_attack1
1136,2,0,skill2,he_ani_attack1
1136,2,1,skill2,he_ani_attack1
1136,3,0,skill2,om_ani_attack1
1136,3,1,skill2,om_ani_attack1
1137,1,0,skill2,ca_dragonfruit_fly_l2r_breath
1137,1,1,skill2,ca_dragonfruit_fly_l2r_breath
1137,2,0,skill2,he_dragonfruit_fly_l2r_breath
1137,2,1,skill2,he_dragonfruit_fly_l2r_breath
1137,3,0,skill2,om_dragonfruit_fly_l2r_breath
1137,3,1,skill2,om_dragonfruit_fly_l2r_breath
1138,1,0,skill2,ca_ani_attack1
1138,1,1,skill2,ca_ani_attack1
1138,2,0,skill2,he_ani_attack1
1138,2,1,skill2,he_ani_attack1
1138,3,0,skill2,om_ani_attack1
1138,3,1,skill2,om_ani_attack1
1139,1,0,skill2,ca_ani_attack1
1139,1,1,skill2,ca_ani_attack1
1139,2,0,skill2,he_ani_attack1
1139,2,1,skill2,he_ani_attack1
1139,3,0,skill2,om_ani_attack1
1139,3,1,skill2,om_ani_attack1
1140,1,0,skill2,ca_ani_attack1
1140,1,1,skill2,ca_ani_attack1
1140,2,0,skill2,he_ani_attack1
1140,2,1,skill2,he_ani_attack1
1140,3,0,skill2,om_ani_attack1
1140,3,1,skill2,om_ani_attack1
1501,1,0,skill_run1,ca_orange_rolling_attack
1501,1,1,skill_run1,ca_orange_rolling_attack
1501,2,0,skill_run1,he_orange_rolling_attack
1501,2,1,skill_run1,he_orange_rolling_attack
1501,3,0,skill_run1,om_orange_rolling_attack
1501,3,1,skill_run1,om_orange_rolling_attack
1502,1,0,skill_run1,ca_orange_rolling_attack
1502,1,1,skill_run1,ca_orange_rolling_attack
1502,2,0,skill_run1,he_orange_rolling_attack
1502,2,1,skill_run1,he_orange_rolling_attack
1502,3,0,skill_run1,om_orange_rolling_attack
1502,3,1,skill_run1,om_orange_rolling_attack
1503,1,0,skill_run1,ca_orange_rolling_attack
1503,1,1,skill_run1,ca_orange_rolling_attack
1503,2,0,skill_run1,he_orange_rolling_attack
1503,2,1,skill_run1,he_orange_rolling_attack
1503,3,0,skill_run1,om_orange_rolling_attack
1503,3,1,skill_run1,om_orange_rolling_attack
1504,1,0,skill_run1,ca_orange_rolling_attack
1504,1,1,skill_run1,ca_orange_rolling_attack
1504,2,0,skill_run1,he_orange_rolling_attack
1504,2,1,skill_run1,he_orange_rolling_attack
1504,3,0,skill_run1,om_orange_rolling_attack
1504,3,1,skill_run1,om_orange_rolling_attack
1505,1,0,skill_run1,ca_orange_rolling_attack
1505,1,1,skill_run1,ca_orange_rolling_attack
1505,2,0,skill_run1,he_orange_rolling_attack
1505,2,1,skill_run1,he_orange_rolling_attack
1505,3,0,skill_run1,om_orange_rolling_attack
1505,3,1,skill_run1,om_orange_rolling_attack
1506,1,0,skill_run1,ca_orange_rolling_attack
1506,1,1,skill_run1,ca_orange_rolling_attack
1506,2,0,skill_run1,he_orange_rolling_attack
1506,2,1,skill_run1,he_orange_rolling_attack
1506,3,0,skill_run1,om_orange_rolling_attack
1506,3,1,skill_run1,om_orange_rolling_attack
1507,1,0,skill_run1,ca_orange_rolling_attack
1507,1,1,skill_run1,ca_orange_rolling_attack
1507,2,0,skill_run1,he_orange_rolling_attack
