idx,projectile_type,link_bone_move,active_pos_type,correct_pos
fx_skill_watermelon_Headbutt_rolling_Hit,1,0,fx_hit,0/0/0
fx_skill_watermelon_Headbutt_rolling_projectile,2,0,fx_mouth,0/0/0
fx_skill_watermelon_healing01,1,0,fx_body,0/0/0
fx_skill_watermelon_healing01_Hit,1,0,fx_body,0/0/0
fx_skill_watermelon_jump_attack,1,0,fx_body,0/0/0
fx_skill_watermelon_seed_gun,1,0,fx_mouth,0/0/0
fx_skill_watermelon_seed_gun_Hit,1,0,fx_hit,0/0/0
fx_skill_watermelon_seed_turn,1,1,fx_mouth,0/0/0
fx_skill_watermelon_seed_turn_Hit,1,0,fx_hit,0/0/0
meteor_ready_attack,1,0,fx_weapon,0/0/0
Thrower,2,0,fx_mouth,0/0/0
