idx,name_string,desc_string,type,type_active,type_range,type_target,max_level,level_up_item1_id,level_up_item1_count,level_up_item1_count_per_level,level_up_item2_id,level_up_item2_count,level_up_item2_count_per_level,level_up_cost,level_up_cost_per_level,turn_next,turn_cool,turn_control,type_radius,type_calculation,dmg_rate,dmg_rate_per_level,dmg_add_type,dmg_add_rate,dmg_add_rate_per_level,burst_point,trigger_id,type_action,res_fx_run,res_fx_attack,res_fx_hit,res_fx_projectile,res_ani_attack,multi_hit_count,multi_hit_term,res_ani_move_action,move_action_speed,res_atlas,res_icon,res_range_icon
501,skill_name_501,skill_desc_501,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+0+0,1,1,0.1,4,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_11,ui_skill_range_atk1
502,skill_name_502,skill_desc_502,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+1+0,1,1,0.1,5,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_12,ui_skill_range_sup1
503,skill_name_503,skill_desc_503,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_13,ui_skill_range_atk1
504,skill_name_504,skill_desc_504,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/0+1+0,1,1,0.1,1,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,503,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_14,ui_skill_range_sup1
505,skill_name_505,skill_desc_505,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,2+0+0/0+1+0/0+0+1,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,504,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_15,ui_skill_range_atk1
506,skill_name_506,skill_desc_506,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+2/0+1+0/1+0+0,1,1,0.1,3,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_16,ui_skill_range_sup1
507,skill_name_507,skill_desc_507,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/0+2+0/1+1+1,1,1,0.1,4,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_17,ui_skill_range_atk1
508,skill_name_508,skill_desc_508,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+0+0/1+2+1/0+1+0,1,1,0.1,5,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_18,ui_skill_range_sup1
509,skill_name_509,skill_desc_509,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+1+0/1+2+1/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_19,ui_skill_range_atk1
510,skill_name_510,skill_desc_510,1,1,1,3,10,0,1,1,0,1,1,10,2,10,10,0,0+1+0/1+2+1/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_coconut_headButt,fx_skill_orange_moon_sword_Hit,none,501,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_19,ui_skill_range_sup1
1001,skill_name_1001,skill_desc_1001,1,1,1,3,10,0,1,1,0,1,1,10,2,8,15,0,0+0+0/0+2+0/0+0+0,1,1,0.1,0,0.5,0.05,5,0,6,none,fx_skill_orange_Headbutt,fx_skill_orange_moon_sword_Hit,none,1001,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1001,ui_skill_range_atk1
1002,skill_name_1002,skill_desc_1002,1,1,1,3,10,0,1,1,0,1,1,10,2,9,14,0,0+0+0/0+2+0/0+1+0,1,1,0.1,1,0.5,0.05,5,0,2,none,fx_skill_orange_moon_sword_Casting,fx_skill_orange_moon_sword_Hit,fx_skill_orange_moon_sword_projectile,1002,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1002,ui_skill_range_sup1
1003,skill_name_1003,skill_desc_1003,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+2+0/0+1+0/0+1+0,1,1,0.1,2,0.5,0.05,5,0,8,fx_skill_orange_rolling_attack_Loop,fx_skill_orange_rolling_attack,fx_skill_orange_rolling_attack_Hit,none,1003,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1003,ui_skill_range_atk1
1004,skill_name_1002,skill_desc_1004,1,1,1,3,10,0,1,1,0,1,1,10,2,8,15,0,0+0+0/0+2+0/0+0+0,1,1,0.1,0,0.5,0.05,5,0,6,none,fx_skill_orange_Headbutt,fx_skill_orange_moon_sword_Hit,none,1001,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1001,ui_skill_range_sup1
1005,skill_name_1005,skill_desc_1005,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,2+0+0/0+1+0/0+0+1,1,1,0.1,4,0.5,0.05,5,0,2,none,fx_skill_watermelon_Headbutt_rolling,fx_skill_watermelon_Headbutt_rolling_Hit,fx_skill_watermelon_Headbutt_rolling_projectile,1005,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1005,ui_skill_range_atk1
1006,skill_name_1006,skill_desc_1006,1,1,1,3,10,0,1,1,0,1,1,10,2,13,15,0,0+0+2/0+1+0/1+0+0,1,1,0.1,5,0.5,0.05,5,0,2,none,fx_skill_watermelon_seed_gun,fx_skill_watermelon_seed_gun_Hit,none,1006,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1006,ui_skill_range_sup1
1007,skill_name_1007,skill_desc_1007,1,1,1,3,10,0,1,1,0,1,1,10,2,14,15,0,0+0+0/0+2+0/1+1+1,1,1,0.1,0,0.5,0.05,5,0,7,none,fx_skill_watermelon_seed_turn,fx_skill_watermelon_seed_turn_Hit,none,1007,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1007,ui_skill_range_atk1
1008,skill_name_1008,skill_desc_1008,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,2+0+0/0+1+0/0+0+1,1,1,0.1,4,0.5,0.05,5,0,2,none,fx_skill_watermelon_Headbutt_rolling,fx_skill_watermelon_Headbutt_rolling_Hit,fx_skill_watermelon_Headbutt_rolling_projectile,1005,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1005,ui_skill_range_sup1
1009,skill_name_1009,skill_desc_1009,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+2+0/0+1+0/0+1+0,1,1,0.1,2,0.5,0.05,5,0,8,fx_skill_orange_rolling_attack_Loop,fx_skill_orange_rolling_attack,fx_skill_orange_rolling_attack_Hit,none,1003,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1003,ui_skill_range_atk1
1010,skill_name_1010,skill_desc_1010,1,1,1,3,10,0,1,1,0,1,1,10,2,9,14,0,0+0+0/0+2+0/0+1+0,1,1,0.1,1,0.5,0.05,5,0,2,none,fx_skill_orange_moon_sword_Casting,fx_skill_orange_moon_sword_Hit,fx_skill_orange_moon_sword_projectile,1002,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1002,ui_skill_range_sup1
1011,skill_name_1011,skill_desc_1011,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+2+0/0+1+0/0+1+0,1,1,0.1,2,0.5,0.05,5,0,8,fx_skill_orange_rolling_attack_Loop,fx_skill_orange_rolling_attack,fx_skill_orange_rolling_attack_Hit,none,1003,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1003,ui_skill_range_atk1
1012,skill_name_1012,skill_desc_1012,1,1,1,3,10,0,1,1,0,1,1,10,2,8,15,0,0+0+0/0+2+0/0+0+0,1,1,0.1,0,0.5,0.05,5,0,6,none,fx_skill_orange_Headbutt,fx_skill_orange_moon_sword_Hit,none,1001,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1001,ui_skill_range_sup1
1013,skill_name_1013,skill_desc_1013,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,1+1+1/1+2+1/1+1+1,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_barrier01,fx_skill_coconut_barrier01_loop,none,1013,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1013,ui_skill_range_atk1
1014,skill_name_1014,skill_desc_1014,1,1,1,3,10,0,1,1,0,1,1,10,2,13,5,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,6,none,fx_skill_coconut_headButt,fx_skill_coconut_headButt_Hit,none,1014,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1014,ui_skill_range_sup1
1015,skill_name_1015,skill_desc_1015,1,1,1,3,10,0,1,1,0,1,1,10,2,14,5,0,1+1+1/1+2+1/1+1+1,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_barrier01,fx_skill_coconut_barrier01_loop,none,1013,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1013,ui_skill_range_atk1
1016,skill_name_1016,skill_desc_1016,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,6,none,fx_skill_coconut_headButt,fx_skill_coconut_headButt_Hit,none,1014,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1014,ui_skill_range_sup1
1017,skill_name_1017,skill_desc_1017,1,1,1,3,10,0,1,1,0,1,1,10,2,10,15,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,2,none,fx_skill_blueberry_gun_projectile,fx_skill_blueberry_gun_Hit_original,none,1017,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1017,ui_skill_range_atk1
1018,skill_name_1018,skill_desc_1018,1,1,1,3,10,0,1,1,0,1,1,10,2,9,14,0,2+0+0/0+1+0/0+0+1,1,1,0.1,1,0.5,0.05,5,0,2,none,fx_skill_blueberry_bubble_shotgun_Projectile,fx_skill_blueberry_bubble_shotgun_Hit,none,1018,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1018,ui_skill_range_sup1
1019,skill_name_1019,skill_desc_1019,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+0+2/0+1+0/1+0+0,1,1,0.1,2,0.5,0.05,5,0,3,none,fx_skill_blueberry_parabola_shot_Projectile,fx_skill_blueberry_parabola_shot_Hit,none,1019,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1019,ui_skill_range_atk1
1020,skill_name_1020,skill_desc_1020,1,1,1,3,10,0,1,1,0,1,1,10,2,8,15,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,2,none,fx_skill_blueberry_gun_projectile,fx_skill_blueberry_gun_Hit_original,none,1017,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1017,ui_skill_range_sup1
1021,skill_name_1021,skill_desc_1021,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,2+0+0/0+1+0/0+0+1,1,1,0.1,4,0.5,0.05,5,0,2,none,fx_skill_watermelon_Headbutt_rolling,fx_skill_watermelon_Headbutt_rolling_Hit,fx_skill_watermelon_Headbutt_rolling_projectile,1005,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1005,ui_skill_range_atk1
1022,skill_name_1022,skill_desc_1022,1,1,1,3,10,0,1,1,0,1,1,10,2,13,15,0,0+0+2/0+1+0/1+0+0,1,1,0.1,5,0.5,0.05,5,0,2,none,fx_skill_watermelon_seed_gun,fx_skill_watermelon_seed_gun_Hit,none,1006,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1006,ui_skill_range_sup1
1023,skill_name_1023,skill_desc_1023,1,1,1,3,10,0,1,1,0,1,1,10,2,14,15,0,0+0+0/0+2+0/1+1+1,1,1,0.1,0,0.5,0.05,5,0,7,none,fx_skill_watermelon_seed_turn,fx_skill_watermelon_seed_turn_Hit,none,1007,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1007,ui_skill_range_atk1
1024,skill_name_1024,skill_desc_1024,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,2+0+0/0+1+0/0+0+1,1,1,0.1,4,0.5,0.05,5,0,2,none,fx_skill_watermelon_Headbutt_rolling,fx_skill_watermelon_Headbutt_rolling_Hit,fx_skill_watermelon_Headbutt_rolling_projectile,1005,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1005,ui_skill_range_sup1
1025,skill_name_1025,skill_desc_1025,1,1,1,3,10,0,1,1,0,1,1,10,2,10,5,0,1+1+1/1+2+1/1+1+1,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_barrier01,fx_skill_coconut_barrier01_loop,none,1013,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1013,ui_skill_range_atk1
1026,skill_name_1026,skill_desc_1026,1,1,1,3,10,0,1,1,0,1,1,10,2,9,5,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,6,none,fx_skill_coconut_headButt,fx_skill_coconut_headButt_Hit,none,1014,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1014,ui_skill_range_sup1
1027,skill_name_1027,skill_desc_1027,1,1,1,3,10,0,1,1,0,1,1,10,2,10,5,0,1+1+1/1+2+1/1+1+1,1,1,0.1,2,0.5,0.05,5,0,1,none,fx_skill_coconut_barrier01,fx_skill_coconut_barrier01_loop,none,1013,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1013,ui_skill_range_atk1
1028,skill_name_1028,skill_desc_1028,1,1,1,3,10,0,1,1,0,1,1,10,2,8,5,0,0+0+0/0+2+0/0+0+0,1,1,0.1,3,0.5,0.05,5,0,6,none,fx_skill_coconut_headButt,fx_skill_coconut_headButt_Hit,none,1014,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1014,ui_skill_range_sup1
1029,skill_name_1029,skill_desc_1029,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,2,none,fx_skill_blueberry_gun_projectile,fx_skill_blueberry_gun_Hit_original,none,1017,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1017,ui_skill_range_atk1
1030,skill_name_1030,skill_desc_1030,1,1,1,3,10,0,1,1,0,1,1,10,2,13,5,0,2+0+0/0+1+0/0+0+1,1,1,0.1,1,0.5,0.05,5,0,2,none,fx_skill_blueberry_bubble_shotgun_Projectile,fx_skill_blueberry_bubble_shotgun_Hit,none,1018,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1018,ui_skill_range_sup1
1031,skill_name_1031,skill_desc_1031,1,1,1,3,10,0,1,1,0,1,1,10,2,14,5,0,0+0+2/0+1+0/1+0+0,1,1,0.1,2,0.5,0.05,5,0,3,none,fx_skill_blueberry_parabola_shot_Projectile,fx_skill_blueberry_parabola_shot_Hit,none,1019,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1019,ui_skill_range_atk1
1032,skill_name_1032,skill_desc_1032,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,2,none,fx_skill_blueberry_gun_projectile,fx_skill_blueberry_gun_Hit_original,none,1017,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1017,ui_skill_range_sup1
1033,skill_name_1033,skill_desc_1033,1,1,1,3,10,0,1,1,0,1,1,10,2,10,15,0,0+0+0/0+2+0/1+0+1,1,1,0.1,0,0.5,0.05,5,0,2,none,fx_skill_blueberry_gun_projectile,fx_skill_blueberry_gun_Hit_original,none,1017,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1017,ui_skill_range_atk1
1034,skill_name_1034,skill_desc_1034,1,1,1,3,10,0,1,1,0,1,1,10,2,9,14,0,2+0+0/0+1+0/0+0+1,1,1,0.1,1,0.5,0.05,5,0,2,none,fx_skill_blueberry_bubble_shotgun_Projectile,fx_skill_blueberry_bubble_shotgun_Hit,none,1018,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1018,ui_skill_range_sup1
1035,skill_name_1035,skill_desc_1035,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+0+2/0+1+0/1+0+0,1,1,0.1,2,0.5,0.05,5,0,3,none,fx_skill_blueberry_parabola_shot_Projectile,fx_skill_blueberry_parabola_shot_Hit,none,1019,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1019,ui_skill_range_atk1
1036,skill_name_1036,skill_desc_1036,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+2+0/0+1+0/0+1+0,1,1,0.1,2,0.5,0.05,5,0,8,fx_skill_orange_rolling_attack_Loop,fx_skill_orange_rolling_attack,fx_skill_orange_rolling_attack_Hit,none,1003,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1003,ui_skill_range_sup1
1037,skill_name_1037,skill_desc_1037,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,1+2+1/0+1+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,7,none,fx_skill_dragonfruit_fly_air_breath,fx_skill_dragonfruit_fly_air_breath_HitFlame,none,1037,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1037,ui_skill_range_atk1
1038,skill_name_1038,skill_desc_1038,1,1,1,3,10,0,1,1,0,1,1,10,2,13,15,0,0+0+0/1+2+1/1+1+1,1,1,0.1,1,0.5,0.05,5,0,6,none,fx_skill_dragonfruit_fly_tumbleing_breath,fx_skill_dragonfruit_fly_air_breath_HitFlame,none,1038,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1038,ui_skill_range_sup1
1039,skill_name_1039,skill_desc_1039,1,1,1,3,10,0,1,1,0,1,1,10,2,14,15,0,1+2+1/0+1+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,7,none,fx_skill_dragonfruit_fly_air_breath,fx_skill_dragonfruit_fly_air_breath_HitFlame,none,1037,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1037,ui_skill_range_atk1
1040,skill_name_1040,skill_desc_1040,1,1,1,3,10,0,1,1,0,1,1,10,2,12,15,0,0+0+0/1+2+1/1+1+1,1,1,0.1,1,0.5,0.05,5,0,6,none,fx_skill_dragonfruit_fly_tumbleing_breath,fx_skill_dragonfruit_fly_air_breath_HitFlame,none,1038,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1038,ui_skill_range_sup1
1101,skill_name_1101,skill_desc_1101,1,1,1,3,10,0,1,1,0,1,1,10,2,10,5,0,0+0+0/0+2+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_orange_buff01,fx_skill_orange_buff01_Loop,none,1101,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1101,ui_skill_range_atk1
1102,skill_name_1102,skill_desc_1102,1,1,1,3,10,0,1,1,0,1,1,10,2,9,5,0,0+2+0/0+1+0/0+1+0,1,1,0.1,1,0.5,0.05,5,0,6,none,fx_skill_orange_tail_drill,fx_skill_orange_moon_sword_Hit,none,1102,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1102,ui_skill_range_sup1
1103,skill_name_1103,skill_desc_1103,1,1,1,3,10,0,1,1,0,1,1,10,2,10,5,0,0+0+0/0+2+0/1+0+1,1,1,0.1,2,0.5,0.05,5,0,6,none,fx_skill_orange_tail_knife,fx_skill_orange_moon_sword_Hit,none,1103,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1103,ui_skill_range_atk1
1104,skill_name_1104,skill_desc_1104,1,1,1,3,10,0,1,1,0,1,1,10,2,10,5,0,0+0+0/0+2+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_orange_buff01,fx_skill_orange_buff01_Loop,none,1101,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1101,ui_skill_range_sup1
1105,skill_name_1105,skill_desc_1105,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,0+0+2/0+1+0/1+0+0,1,1,0.1,4,0.5,0.05,5,0,1,none,fx_skill_watermelon_buff01,fx_skill_watermelon_buff01_Watermelon_Loop,none,1105,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1105,ui_skill_range_atk1
1106,skill_name_1106,skill_desc_1106,1,1,1,3,10,0,1,1,0,1,1,10,2,13,5,0,0+0+0/0+2+0/1+1+1,1,1,0.1,5,0.5,0.05,5,0,1,none,fx_skill_watermelon_healing01,fx_skill_watermelon_healing01_Hit,none,1106,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1106,ui_skill_range_sup1
1107,skill_name_1107,skill_desc_1107,1,1,1,3,10,0,1,1,0,1,1,10,2,14,5,0,0+0+0/1+2+1/0+1+0,1,1,0.1,0,0.5,0.05,5,0,6,none,fx_skill_watermelon_jump_attack,none,none,1107,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1107,ui_skill_range_atk1
1108,skill_name_1108,skill_desc_1108,1,1,1,3,10,0,1,1,0,1,1,10,2,12,5,0,0+0+2/0+1+0/1+0+0,1,1,0.1,4,0.5,0.05,5,0,1,none,fx_skill_watermelon_buff01,fx_skill_watermelon_buff01_Watermelon_Loop,none,1105,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1105,ui_skill_range_sup1
1109,skill_name_1109,skill_desc_1109,1,1,1,3,10,0,1,1,0,1,1,10,2,10,15,0,0+0+0/0+2+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_orange_buff01,fx_skill_orange_buff01_Loop,none,1101,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1101,ui_skill_range_atk1
1110,skill_name_1110,skill_desc_1110,1,1,1,3,10,0,1,1,0,1,1,10,2,9,14,0,0+2+0/0+1+0/0+1+0,1,1,0.1,1,0.5,0.05,5,0,6,none,fx_skill_orange_tail_drill,fx_skill_orange_moon_sword_Hit,none,1102,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1102,ui_skill_range_sup1
1111,skill_name_1111,skill_desc_1111,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+0+0/0+2+0/1+0+1,1,1,0.1,2,0.5,0.05,5,0,6,none,fx_skill_orange_tail_knife,fx_skill_orange_moon_sword_Hit,none,1103,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1103,ui_skill_range_atk1
1112,skill_name_1112,skill_desc_1112,1,1,1,3,10,0,1,1,0,1,1,10,2,10,13,0,0+0+0/0+2+0/0+1+0,1,1,0.1,0,0.5,0.05,5,0,1,none,fx_skill_orange_buff01,fx_skill_orange_buff01_Loop,none,1101,1,0.25,0,0.5,ui_atlas_skill,ui_icon_skill_1101,ui_skill_range_sup1
