idx,ani_name,eventcount,event1_time,event1_name,effectarrayidx1,effecttarget1,event2_time,event2_name,effectarrayidx2,effecttarget2,event3_time,event3_name,effectarrayidx3,effecttarget3,event4_time,event4_name,effectarrayidx4,effecttarget4
1103,om_orange_tail_knife,2,0.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1106,ca_watermelon_healing01,2,0.4,OnHeal,0,0,1.15,ChangeState,0,0,,,,,,,,
1106,he_watermelon_healing01,2,0.4,OnHeal,0,0,1.15,ChangeState,0,0,,,,,,,,
1106,om_watermelon_healing01,2,0.4,OnHeal,0,0,1.15,ChangeState,0,0,,,,,,,,
1107,ca_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1107,he_watermelon_jump_attack,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1107,om_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1113,ca_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1113,he_watermelon_jump_attack,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1113,om_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1114,ca_coconut_stomp,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1114,he_coconut_stomp,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1114,om_coconut_stomp,2,1.5,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1115,ca_coconut_tail_shot,2,1.2,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1115,he_coconut_tail_shot,2,1.2,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1115,om_coconut_tail_shot,2,1.2,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1117,ca_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1117,he_watermelon_jump_attack,2,0.7,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1117,om_watermelon_jump_attack,2,0.9,OnDamage,0,0,1.15,ChangeState,0,0,,,,,,,,
1118,ca_blueberry_tumbling_shot,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1118,he_blueberry_tumbling_shot,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1118,om_blueberry_tumbling_shot,2,0.4,RangeAttack,0,0,2,ChangeState,0,0,,,,,,,,
1137,ca_dragonfruit_fly_l2r_breath,2,1.7,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1137,he_dragonfruit_fly_l2r_breath,2,1.7,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
1137,om_dragonfruit_fly_l2r_breath,2,1.7,OnDamage,0,0,4,ChangeState,0,0,,,,,,,,
9000,pirate_death,1,1,Death,0,0,,,,,,,,,,,,
9001,pirate_elite_death,1,1,Death,0,0,,,,,,,,,,,,
9002,ca_ani_death,1,1,Death,0,0,,,,,,,,,,,,
9003,he_ani_death,1,1,Death,0,0,,,,,,,,,,,,
9004,om_ani_death,1,1,Death,0,0,,,,,,,,,,,,
