idx,kr312,en52
skill_name_2021,대상정면 일반이동 후 제자리 액션,
skill_name_2022,진영중앙 일반이동 후 제자리 액션,
skill_name_2023,대상정면 액션(롤링)이동 후 제자리 액션,
skill_name_2024,진영중앙 액션(롤링)이동 후 제자리 액션,
skill_desc_1,디노 스킬1 설명,
skill_desc_2,디노 스킬2 설명,
skill_desc_3,디노 스킬3 설명,
skill_desc_4,디노 스킬4 설명,
skill_desc_5,디노 스킬5 설명,
skill_desc_6,디노 스킬6 설명,
skill_desc_7,디노 스킬7 설명,
skill_desc_8,디노 스킬8 설명,
skill_desc_9,디노 스킬9 설명,
skill_desc_10,디노 스킬10 설명,
skill_desc_501,몬스터 스킬1 설명,
skill_desc_502,몬스터 스킬2 설명,
skill_desc_503,몬스터 스킬3 설명,
skill_desc_504,몬스터 스킬4 설명,
skill_desc_505,몬스터 스킬5 설명,
skill_desc_506,몬스터 스킬6 설명,
skill_desc_507,몬스터 스킬7 설명,
skill_desc_508,몬스터 스킬8 설명,
skill_desc_509,몬스터 스킬9 설명,
skill_desc_510,몬스터 스킬10 설명,
skill_desc_1001,오렌지 머리 스킬1 설명,
skill_desc_1002,오렌지 머리 스킬2 설명,
skill_desc_1003,오렌지 머리 스킬3 설명,
skill_desc_1004,오렌지 머리 스킬4 설명,
skill_desc_1005,수박 머리 스킬1 설명,
skill_desc_1006,수박 머리 스킬2 설명,
skill_desc_1007,수박 머리 스킬3 설명,
skill_desc_1008,수박 머리 스킬4 설명,
skill_desc_1009,두리안 머리 스킬1 설명,
skill_desc_1010,두리안 머리 스킬2 설명,
skill_desc_1011,두리안 머리 스킬3 설명,
skill_desc_1012,두리안 머리 스킬4 설명,
skill_desc_1013,코코넛 머리 스킬1 설명,
skill_desc_1014,코코넛 머리 스킬2 설명,
skill_desc_1015,코코넛 머리 스킬3 설명,
skill_desc_1016,코코넛 머리 스킬4 설명,
skill_desc_1017,블루베리 머리 스킬1 설명,
skill_desc_1018,블루베리 머리 스킬2 설명,
skill_desc_1019,블루베리 머리 스킬3 설명,
skill_desc_1020,블루베리 머리 스킬4 설명,
skill_desc_1021,멜론 머리 스킬1 설명,
skill_desc_1022,멜론 머리 스킬2 설명,
skill_desc_1023,멜론 머리 스킬3 설명,
skill_desc_1024,멜론 머리 스킬4 설명,
skill_desc_1025,파인애플 머리 스킬1 설명,
skill_desc_1026,파인애플 머리 스킬2 설명,
skill_desc_1027,파인애플 머리 스킬3 설명,
skill_desc_1028,파인애플 머리 스킬4 설명,
skill_desc_1029,바나나 머리 스킬1 설명,
skill_desc_1030,바나나 머리 스킬2 설명,
skill_desc_1031,바나나 머리 스킬3 설명,
skill_desc_1032,바나나 머리 스킬4 설명,
skill_desc_1033,람부탄 머리 스킬1 설명,
skill_desc_1034,람부탄 머리 스킬2 설명,
skill_desc_1035,람부탄 머리 스킬3 설명,
skill_desc_1036,람부탄 머리 스킬4 설명,
skill_desc_1037,용과 머리 스킬1 설명,
skill_desc_1038,용과 머리 스킬2 설명,
skill_desc_1039,용과 머리 스킬3 설명,
skill_desc_1040,용과 머리 스킬4 설명,
skill_desc_1101,오렌지 꼬리 스킬1 설명,
skill_desc_1102,오렌지 꼬리 스킬2 설명,
skill_desc_1103,오렌지 꼬리 스킬3 설명,
skill_desc_1104,오렌지 꼬리 스킬4 설명,
skill_desc_1105,수박 꼬리 스킬1 설명,
skill_desc_1106,수박 꼬리 스킬2 설명,
skill_desc_1107,수박 꼬리 스킬3 설명,
skill_desc_1108,수박 꼬리 스킬4 설명,
skill_desc_1109,두리안 꼬리 스킬1 설명,
skill_desc_1110,두리안 꼬리 스킬2 설명,
skill_desc_1111,두리안 꼬리 스킬3 설명,
skill_desc_1112,두리안 꼬리 스킬4 설명,
skill_desc_1113,코코넛 꼬리 스킬1 설명,
skill_desc_1114,코코넛 꼬리 스킬2 설명,
skill_desc_1115,코코넛 꼬리 스킬3 설명,
skill_desc_1116,코코넛 꼬리 스킬4 설명,
skill_desc_1117,블루베리 꼬리 스킬1 설명,
skill_desc_1118,블루베리 꼬리 스킬2 설명,
skill_desc_1119,블루베리 꼬리 스킬3 설명,
skill_desc_1120,블루베리 꼬리 스킬4 설명,
skill_desc_1121,멜론 꼬리 스킬1 설명,
skill_desc_1122,멜론 꼬리 스킬2 설명,
skill_desc_1123,멜론 꼬리 스킬3 설명,
skill_desc_1124,멜론 꼬리 스킬4 설명,
skill_desc_1125,파인애플 꼬리 스킬1 설명,
skill_desc_1126,파인애플 꼬리 스킬2 설명,
skill_desc_1127,파인애플 꼬리 스킬3 설명,
skill_desc_1128,파인애플 꼬리 스킬4 설명,
skill_desc_1129,바나나 꼬리 스킬1 설명,
skill_desc_1130,바나나 꼬리 스킬2 설명,
skill_desc_1131,바나나 꼬리 스킬3 설명,
skill_desc_1132,바나나 꼬리 스킬4 설명,
skill_desc_1133,람부탄 꼬리 스킬1 설명,
skill_desc_1134,람부탄 꼬리 스킬2 설명,
skill_desc_1135,람부탄 꼬리 스킬3 설명,
skill_desc_1136,람부탄 꼬리 스킬4 설명,
skill_desc_1137,용과 꼬리 스킬1 설명,
skill_desc_1138,용과 꼬리 스킬2 설명,
skill_desc_1139,용과 꼬리 스킬3 설명,
skill_desc_1140,용과 꼬리 스킬4 설명,
skill_desc_2001,부상 - 기본 공격 불가,
skill_desc_2002,부상 - 스킬1 공격 불가,
skill_desc_2003,부상 - 스킬2 공격 불가,
skill_desc_2004,부상 - 스킬1, 2 공격 불가,
skill_desc_2005,부상 - 모든 공격 불가,
skill_desc_2006,기절,
skill_desc_2007,빙결,
skill_desc_2008,수면,
skill_desc_2009,매혹,
skill_desc_2010,혼란,
skill_desc_2011,분노,
skill_desc_2012,도발,
skill_desc_2013,직사 원거리 - 1인,
skill_desc_2014,곡사 원거리 - 1인,
skill_desc_2015,직사 원거리 - 멀티,
skill_desc_2016,곡사 원거리 - 멀티,
skill_desc_2017,직사 원거리 - 1인 - 다단,
skill_desc_2018,직사 원거리 - 1인 - 다단,
skill_desc_2019,다단 직사 원거리 - 멀티,
skill_desc_2020,다단 곡사 원거리 - 멀티,
skill_desc_2021,대상정면 일반이동 후 제자리 액션,
skill_desc_2022,진영중앙 일반이동 후 제자리 액션,
skill_desc_2023,대상정면 액션(롤링)이동 후 제자리 액션,
skill_desc_2024,진영중앙 액션(롤링)이동 후 제자리 액션,
stack_name_1,일시회복 테스트 스택,
stack_name_2,버프 테스트 스택,
stack_name_3,일시회복 + 버프 테스트 스택,
stack_name_4,일시피해 테스트 스택,
stack_name_5,디버프 테스트 스택,
stack_name_6,CC 테스트 스택,
stack_name_7,일시피해 + 디버프 테스트 스택,
stack_name_8,일시피해 + CC 테스트 스택,
stack_name_9,디버프 + CC 테스트 스택,
stack_name_10,일시피해 + 디버프 + CC 테스트 스택,
stack_name_11,일시피해 + 디버프 + CC 테스트 스택,
buff_name_100001,힘 증가 버프,
buff_name_100002,체력 증가 버프,
buff_name_100003,민첩 증가 버프,
buff_name_100004,재주 증가 버프,
buff_name_100005,행운 증가 버프,
buff_name_100006,공격 증가 버프,
buff_name_100007,방어 증가 버프,
buff_name_100008,방어관통 증가 버프,
buff_name_100009,HP 증가 버프,
buff_name_100010,명중 증가 버프,
buff_name_100011,회피 증가 버프,
buff_name_100012,치명 증가 버프,
buff_name_100013,치명피해 증가 버프,
buff_name_100014,상대저항 증가 버프,
buff_name_100015,속도 증가 버프,
buff_name_100016,상성 피해 증가 버프,
buff_name_100017,속성 버프 강화,
buff_name_100018,지속 회복,
buff_name_100019,지속 회복 + 힘 증가 버프,
debuff_name_200001,힘 감소 디버프 + 매턴 도트데미지,
debuff_name_200002,체력 감소 디버프,
debuff_name_200003,민첩 감소 디버프,
debuff_name_200004,재주 감소 디버프,
debuff_name_200005,행운 감소 디버프,
debuff_name_200006,공격 감소 디버프,
debuff_name_200007,방어 감소 디버프,
debuff_name_200008,방어관통 감소 디버프,
debuff_name_200009,HP 감소 디버프,
debuff_name_200010,명중 감소 디버프,
debuff_name_200011,회피 감소 디버프,
debuff_name_200012,치명 감소 디버프,
debuff_name_200013,치명피해 감소 디버프,
debuff_name_200014,상대저항 감소 디버프,
debuff_name_200015,속도 감소 디버프,
debuff_name_200016,상성 피해 약화 디버프,
debuff_name_200017,속성 버프 약화,
debuff_name_200018,지속 피해,
debuff_name_200019,지속 피해 + 디버프,
debuff_name_200020,지속 피해 + 디버프,
cc_name_1001,기절( 하급 ),
cc_name_1002,기절( 상급 ),
cc_name_2001,빙결( 하급 ),
cc_name_2002,빙결( 상급 ),
cc_name_3001,수면( 하급 ),
cc_name_3002,수면( 상급 ),
cc_name_4001,부상( 하급 ) - 몸,
cc_name_4002,부상( 상급 ) - 몸,
cc_name_7001,부상( 하급 ) - 머리/꼬리,
cc_name_7002,부상( 상급 ) - 머리/꼬리,
cc_name_8001,매혹( 하급 ),
cc_name_8002,매혹( 상급 ),
cc_name_9001,혼란( 하급 ),
cc_name_9002,혼란( 상급 ),
cc_name_10001,분노( 하급 ),
cc_name_10002,분노( 상급 ),
cc_name_11001,도발( 하급 ),
cc_name_11002,도발( 상급 ),
cc_name_12001,도발( 상급 ),
dino_class_1,오레우스,
dino_class_2,워터루스,
dino_class_3,두리우스,
dino_class_4,코코우라,
dino_class_5,베리우라,
dino_class_6,멜로우라,
dino_class_7,파이쿠스,
dino_class_8,바나쿠스,
dino_class_9,람쿠스,
dino_class_10,피타드라고,
stat_1,힘,
stat_2,체력,
stat_3,민첩,
stat_4,재주,
stat_5,운,
monster_name_1,몬스터 1,
monster_name_2,몬스터 2,
monster_name_3,몬스터 3,
monster_name_4,몬스터 4,
monster_name_5,몬스터 5,
monster_desc_1,몬스터 1 설명,
monster_desc_2,몬스터 2 설명,
monster_desc_3,몬스터 3 설명,
monster_desc_4,몬스터 4 설명,
monster_desc_5,몬스터 5 설명,
dino_tag_name_1,태그 1,
dino_tag_name_2,태그 2,
dino_tag_name_3,태그 3,
dino_tag_name_4,태그 4,
dino_tag_name_5,태그 5,
dino_tag_desc_1,태그 1 설명,
dino_tag_desc_2,태그 2 설명,
dino_tag_desc_3,태그 3 설명,
dino_tag_desc_4,태그 4 설명,
dino_tag_desc_5,태그 5 설명,
item_name_1,아이템 1,
item_name_2,아이템 2,
item_name_3,아이템 3,
item_name_4,아이템 4,
item_name_5,아이템 5,
item_desc_1,아이템 1 설명,
item_desc_2,아이템 2 설명,
item_desc_3,아이템 3 설명,
item_desc_4,아이템 4 설명,
item_desc_5,아이템 5 설명,
attribute_1,낮,
attribute_2,밤,
attribute_3,새벽,
attribute_4,일식,
stage_name_1,모험 1-1 [쉬움],
stage_name_2,모험 1-2 [쉬움],
stage_name_3,모험 1-3 [쉬움],
stage_name_4,모험 1-4 [쉬움],
stage_name_5,모험 1-5 [쉬움],
stage_name_6,모험 1-6 [쉬움],
stage_name_7,모험 1-7 [쉬움],
stage_name_8,모험 1-8 [쉬움],
stage_name_9,모험 1-9 [쉬움],
stage_name_10,모험 1-10 [쉬움],
stage_name_11,모험 2-1 [쉬움],
stage_name_12,모험 2-2 [쉬움],
stage_name_13,모험 2-3 [쉬움],
stage_name_14,모험 2-4 [쉬움],
stage_name_15,모험 2-5 [쉬움],
stage_name_16,모험 2-6 [쉬움],
stage_name_17,모험 2-7 [쉬움],
stage_name_18,모험 2-8 [쉬움],
stage_name_19,모험 2-9 [쉬움],
stage_name_20,모험 2-10 [쉬움],
stage_name_21,모험 3-1 [쉬움],
stage_name_22,모험 3-2 [쉬움],
stage_name_23,모험 3-3 [쉬움],
stage_name_24,모험 3-4 [쉬움],
stage_name_25,모험 3-5 [쉬움],
stage_name_26,모험 3-6 [쉬움],
stage_name_27,모험 3-7 [쉬움],
stage_name_28,모험 3-8 [쉬움],
stage_name_29,모험 3-9 [쉬움],
stage_name_30,모험 3-10 [쉬움],
stage_name_31,모험 4-1 [쉬움],
stage_name_32,모험 4-2 [쉬움],
stage_name_33,모험 4-3 [쉬움],
stage_name_34,모험 4-4 [쉬움],
stage_name_35,모험 4-5 [쉬움],
stage_name_36,모험 4-6 [쉬움],
stage_name_37,모험 4-7 [쉬움],
stage_name_38,모험 4-8 [쉬움],
stage_name_39,모험 4-9 [쉬움],
stage_name_40,모험 4-10 [쉬움],
stage_name_41,모험 5-1 [쉬움],
stage_name_42,모험 5-2 [쉬움],
stage_name_43,모험 5-3 [쉬움],
stage_name_44,모험 5-4 [쉬움],
stage_name_45,모험 5-5 [쉬움],
stage_name_46,모험 5-6 [쉬움],
stage_name_47,모험 5-7 [쉬움],
stage_name_48,모험 5-8 [쉬움],
stage_name_49,모험 5-9 [쉬움],
stage_name_50,모험 5-10 [쉬움],
stage_name_51,모험 6-1 [쉬움],
stage_name_52,모험 6-2 [쉬움],
stage_name_53,모험 6-3 [쉬움],
stage_name_54,모험 6-4 [쉬움],
stage_name_55,모험 6-5 [쉬움],
stage_name_56,모험 6-6 [쉬움],
stage_name_57,모험 6-7 [쉬움],
stage_name_58,모험 6-8 [쉬움],
stage_name_59,모험 6-9 [쉬움],
stage_name_60,모험 6-10 [쉬움],
stage_name_61,모험 7-1 [쉬움],
stage_name_62,모험 7-2 [쉬움],
stage_name_63,모험 7-3 [쉬움],
stage_name_64,모험 7-4 [쉬움],
stage_name_65,모험 7-5 [쉬움],
stage_name_66,모험 7-6 [쉬움],
stage_name_67,모험 7-7 [쉬움],
stage_name_68,모험 7-8 [쉬움],
stage_name_69,모험 7-9 [쉬움],
stage_name_70,모험 7-10 [쉬움],
stage_name_71,모험 8-1 [쉬움],
stage_name_72,모험 8-2 [쉬움],
stage_name_73,모험 8-3 [쉬움],
stage_name_74,모험 8-4 [쉬움],
stage_name_75,모험 8-5 [쉬움],
stage_name_76,모험 8-6 [쉬움],
stage_name_77,모험 8-7 [쉬움],
stage_name_78,모험 8-8 [쉬움],
stage_name_79,모험 8-9 [쉬움],
stage_name_80,모험 8-10 [쉬움],
stage_name_81,모험 9-1 [쉬움],
stage_name_82,모험 9-2 [쉬움],
stage_name_83,모험 9-3 [쉬움],
stage_name_84,모험 9-4 [쉬움],
stage_name_85,모험 9-5 [쉬움],
stage_name_86,모험 9-6 [쉬움],
stage_name_87,모험 9-7 [쉬움],
stage_name_88,모험 9-8 [쉬움],
stage_name_89,모험 9-9 [쉬움],
stage_name_90,모험 9-10 [쉬움],
stage_name_91,모험 10-1 [쉬움],
stage_name_92,모험 10-2 [쉬움],
stage_name_93,모험 10-3 [쉬움],
stage_name_94,모험 10-4 [쉬움],
stage_name_95,모험 10-5 [쉬움],
stage_name_96,모험 10-6 [쉬움],
stage_name_97,모험 10-7 [쉬움],
stage_name_98,모험 10-8 [쉬움],
stage_name_99,모험 10-9 [쉬움],
stage_name_100,모험 10-10 [쉬움],
stage_name_101,모험 1-1 [보통],
stage_name_102,모험 1-2 [보통],
stage_name_103,모험 1-3 [보통],
stage_name_104,모험 1-4 [보통],
stage_name_105,모험 1-5 [보통],
stage_name_106,모험 1-6 [보통],
stage_name_107,모험 1-7 [보통],
stage_name_108,모험 1-8 [보통],
stage_name_109,모험 1-9 [보통],
stage_name_110,모험 1-10 [보통],
stage_name_111,모험 2-1 [보통],
stage_name_112,모험 2-2 [보통],
stage_name_113,모험 2-3 [보통],
stage_name_114,모험 2-4 [보통],
stage_name_115,모험 2-5 [보통],
stage_name_116,모험 2-6 [보통],
stage_name_117,모험 2-7 [보통],
stage_name_118,모험 2-8 [보통],
stage_name_119,모험 2-9 [보통],
stage_name_120,모험 2-10 [보통],
stage_name_121,모험 3-1 [보통],
stage_name_122,모험 3-2 [보통],
stage_name_123,모험 3-3 [보통],
stage_name_124,모험 3-4 [보통],
stage_name_125,모험 3-5 [보통],
stage_name_126,모험 3-6 [보통],
stage_name_127,모험 3-7 [보통],
stage_name_128,모험 3-8 [보통],
stage_name_129,모험 3-9 [보통],
stage_name_130,모험 3-10 [보통],
stage_name_131,모험 4-1 [보통],
stage_name_132,모험 4-2 [보통],
stage_name_133,모험 4-3 [보통],
stage_name_134,모험 4-4 [보통],
stage_name_135,모험 4-5 [보통],
stage_name_136,모험 4-6 [보통],
stage_name_137,모험 4-7 [보통],
stage_name_138,모험 4-8 [보통],
stage_name_139,모험 4-9 [보통],
stage_name_140,모험 4-10 [보통],
stage_name_141,모험 5-1 [보통],
stage_name_142,모험 5-2 [보통],
stage_name_143,모험 5-3 [보통],
stage_name_144,모험 5-4 [보통],
stage_name_145,모험 5-5 [보통],
stage_name_146,모험 5-6 [보통],
stage_name_147,모험 5-7 [보통],
stage_name_148,모험 5-8 [보통],
stage_name_149,모험 5-9 [보통],
stage_name_150,모험 5-10 [보통],
stage_name_151,모험 6-1 [보통],
stage_name_152,모험 6-2 [보통],
stage_name_153,모험 6-3 [보통],
stage_name_154,모험 6-4 [보통],
stage_name_155,모험 6-5 [보통],
stage_name_156,모험 6-6 [보통],
stage_name_157,모험 6-7 [보통],
stage_name_158,모험 6-8 [보통],
stage_name_159,모험 6-9 [보통],
stage_name_160,모험 6-10 [보통],
stage_name_161,모험 7-1 [보통],
stage_name_162,모험 7-2 [보통],
stage_name_163,모험 7-3 [보통],
stage_name_164,모험 7-4 [보통],
stage_name_165,모험 7-5 [보통],
stage_name_166,모험 7-6 [보통],
stage_name_167,모험 7-7 [보통],
stage_name_168,모험 7-8 [보통],
stage_name_169,모험 7-9 [보통],
stage_name_170,모험 7-10 [보통],
stage_name_171,모험 8-1 [보통],
stage_name_172,모험 8-2 [보통],
stage_name_173,모험 8-3 [보통],
stage_name_174,모험 8-4 [보통],
stage_name_175,모험 8-5 [보통],
stage_name_176,모험 8-6 [보통],
stage_name_177,모험 8-7 [보통],
stage_name_178,모험 8-8 [보통],
stage_name_179,모험 8-9 [보통],
stage_name_180,모험 8-10 [보통],
stage_name_181,모험 9-1 [보통],
stage_name_182,모험 9-2 [보통],
stage_name_183,모험 9-3 [보통],
stage_name_184,모험 9-4 [보통],
stage_name_185,모험 9-5 [보통],
stage_name_186,모험 9-6 [보통],
stage_name_187,모험 9-7 [보통],
stage_name_188,모험 9-8 [보통],
stage_name_189,모험 9-9 [보통],
stage_name_190,모험 9-10 [보통],
stage_name_191,모험 10-1 [보통],
stage_name_192,모험 10-2 [보통],
stage_name_193,모험 10-3 [보통],
stage_name_194,모험 10-4 [보통],
stage_name_195,모험 10-5 [보통],
stage_name_196,모험 10-6 [보통],
stage_name_197,모험 10-7 [보통],
stage_name_198,모험 10-8 [보통],
stage_name_199,모험 10-9 [보통],
stage_name_200,모험 10-10 [보통],
stage_name_201,모험 1-1 [어려움],
stage_name_202,모험 1-2 [어려움],
stage_name_203,모험 1-3 [어려움],
stage_name_204,모험 1-4 [어려움],
stage_name_205,모험 1-5 [어려움],
stage_name_206,모험 1-6 [어려움],
stage_name_207,모험 1-7 [어려움],
stage_name_208,모험 1-8 [어려움],
stage_name_209,모험 1-9 [어려움],
stage_name_210,모험 1-10 [어려움],
stage_name_211,모험 2-1 [어려움],
stage_name_212,모험 2-2 [어려움],
stage_name_213,모험 2-3 [어려움],
stage_name_214,모험 2-4 [어려움],
stage_name_215,모험 2-5 [어려움],
stage_name_216,모험 2-6 [어려움],
stage_name_217,모험 2-7 [어려움],
stage_name_218,모험 2-8 [어려움],
stage_name_219,모험 2-9 [어려움],
stage_name_220,모험 2-10 [어려움],
stage_name_221,모험 3-1 [어려움],
stage_name_222,모험 3-2 [어려움],
stage_name_223,모험 3-3 [어려움],
stage_name_224,모험 3-4 [어려움],
stage_name_225,모험 3-5 [어려움],
stage_name_226,모험 3-6 [어려움],
stage_name_227,모험 3-7 [어려움],
stage_name_228,모험 3-8 [어려움],
stage_name_229,모험 3-9 [어려움],
stage_name_230,모험 3-10 [어려움],
stage_name_231,모험 4-1 [어려움],
stage_name_232,모험 4-2 [어려움],
stage_name_233,모험 4-3 [어려움],
stage_name_234,모험 4-4 [어려움],
stage_name_235,모험 4-5 [어려움],
stage_name_236,모험 4-6 [어려움],
stage_name_237,모험 4-7 [어려움],
stage_name_238,모험 4-8 [어려움],
stage_name_239,모험 4-9 [어려움],
stage_name_240,모험 4-10 [어려움],
stage_name_241,모험 5-1 [어려움],
stage_name_242,모험 5-2 [어려움],
stage_name_243,모험 5-3 [어려움],
stage_name_244,모험 5-4 [어려움],
stage_name_245,모험 5-5 [어려움],
