idx,trigger_timing,trigger_duration_turn,trigger_count,action1_type,action1_timing,action1_condition_id,action1_rate,action1_rate_per_level,action1_type_target,action1_id,action1_duration_turn,action1_count,action2_type,action2_timing,action2_condition_id,action2_rate,action2_rate_per_level,action2_type_target,action2_id,action2_duration_turn,action2_count,action3_type,action3_timing,action3_condition_id,action3_rate,action3_rate_per_level,action3_type_target,action3_id,action3_duration_turn,action3_count,action4_type,action4_timing,action4_condition_id,action4_rate,action4_rate_per_level,action4_type_target,action4_id,action4_duration_turn,action4_count,action5_type,action5_timing,action5_condition_id,action5_rate,action5_rate_per_level,action5_type_target,action5_id,action5_duration_turn,action5_count
1011,3,1,1,3,0,0,1,0,1,6,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,3,1,1,1,0,0,1,0,1,200001,15,15,2,0,0,1,0,1,1001,15,15,3,0,0,1,0,1,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,4,1,1,1,0,0,1,0,0,200001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,4,1,1,2,0,0,1,0,3,1001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,4,1,1,3,0,0,1,0,3,6,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,4,1,1,1,0,0,1,0,3,200001,15,15,2,0,0,1,0,1,1001,15,15,3,0,0,1,0,1,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,4,1,1,1,0,0,1,0,4,100001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,4,1,1,2,0,0,1,0,4,11001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,4,1,1,3,0,0,1,0,4,1,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,4,1,1,1,0,0,1,0,4,100001,15,15,2,0,0,1,0,4,11001,15,15,3,0,0,1,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,5,1,1,1,0,0,1,0,1,100001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,5,1,1,2,0,0,1,0,1,11001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,5,1,1,3,0,0,1,0,1,1,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,5,1,1,1,0,0,1,0,1,100001,15,15,2,0,0,1,0,4,11001,15,15,3,0,0,1,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,6,1,1,1,0,0,1,0,2,100001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,6,1,1,2,0,0,1,0,2,11001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,6,1,1,3,0,0,1,0,2,1,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,6,1,1,1,0,0,1,0,2,100001,15,15,2,0,0,1,0,4,11001,15,15,3,0,0,1,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,7,1,1,1,0,0,1,0,2,100001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,7,1,1,2,0,0,1,0,2,11001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,7,1,1,3,0,0,1,0,2,1,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,7,1,1,1,0,0,1,0,2,100001,15,15,2,0,0,1,0,4,11001,15,15,3,0,0,1,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,1,10,10,1,0,0,1,0,2,100001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,1,10,10,2,0,0,1,0,2,11001,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,1,10,10,3,0,0,1,0,2,1,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,1,10,10,1,0,0,1,0,2,100001,15,15,2,0,0,1,0,4,11001,15,15,3,0,0,1,0,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,12,100,1,2,12,0,1,0,1,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,12,100,1,2,12,0,1,0,1,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,12,100,1,2,12,0,1,0,1,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,12,100,1,2,12,0,1,0,1,4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,12,100,1,2,12,0,1,0,1,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,12,100,1,2,12,0,1,0,1,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,12,100,1,2,12,0,1,0,1,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,12,100,1,2,12,0,1,0,1,8,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,12,100,1,2,12,0,1,0,1,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,12,100,1,2,12,0,1,0,1,10,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,12,100,1,2,12,0,1,0,1,11,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,12,100,1,2,12,0,1,0,1,12,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
